species	number	order	family	collDate	country
Acanthonotozoma rusanovae	4		Acanthonotozomatidae	?,?,?,###############################################################################################################################################################################################################################################################	Finnmark,Gr�nland,Lofoten,Norsk�yene
Aega crenulata	7		Aegidae	###############################################################################################################################################################################################################################################################,?,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,?,?	Finnmark,Finnmark,Oslofjorden,Oslofjorden,Oslofjorden,Spitsbergen,Spitsbergen
Amphithoe rubricata	13		Amphithoidae	?,?,?,?,?,?,?,?,?,?,?,?,?	Espev�r,Finnmark,Finnmark & Vest-Norge,Frankrike,Gr�t�ya,Kristiansund,Manger,Namdalen,Norden,Norge,Oslofjorden,Oslofjorden,Vads�
Anapagurus chiroacanthus	114		Paguridae	?,?,24.05.1952,24.05.1952,19.03.1953,25.04.1952,20.07.1969,26.06.1911,18.08.1952,08.08.1969,08.08.1969,08.08.1969,08.08.1969,13.06.1961,25.07.1953,27.07.1953,25.07.1953,24.07.1953,17.07.1951,18.07.1951,18.07.1951,27.07.1951,21.08.1952,19.08.1952,19.07.1950,16.07.1951,21.07.1950,14.07.1950,19.07.1950,19.07.1950,24.07.1953,08.08.1969,06.08.1969,20.07.1951,20.07.1951,16.09.1953,16.09.1953,27.04.1953,11.07.1950,13.07.1950,11.07.1950,13.07.1950,11.07.1950,16.07.1970,10.07.1952,01.08.1927,01.01.1927,17.08.1927,17.08.1927,18.08.1927,17.08.1927,28.07.1951,?,?,?,?,26.09.1952,26.09.1952,27.07.1951,19.07.1951,19.07.1951,19.07.1951,22.07.1973,24.07.1953,28.04.1953,21.06.1926,22.07.1966,21.07.1951,21.07.1953,01.08.1953,31.07.1953,21.07.1953,20.07.1953,01.08.1953,06.08.1969,06.08.1969,06.04.1971,08.04.1971,06.04.1971,06.04.1971,29.07.1973,19.08.1952,06.04.1971,04.04.1971,05.04.1971,13.04.1971,08.04.1971,10.04.1971,03.04.1971,10.06.1973,05.04.1971,05.04.1971,17.09.1953,10.10.1952,28.07.1953,23.07.1953,29.07.1953,21.06.1911,12.07.1950,15.07.1950,15.07.1950,21.07.1950,12.07.1950,21.07.1950,13.07.1950,14.07.1950,21.07.1950,14.07.1950,12.07.1950,12.07.1950,15.07.1950,14.07.1950,18.07.1950,?	Abelnes,Arendal,Bev�ya,Bev�ykollen,Bile,Bilekrakken,Bj�rk�ya,Bol�rne,Bustein,Bustein,Bustein,Bustein,Bustein,Fev�g,Fulehuk - Bast�y,Fulehuk - Svenner,Fulehuk - Svenner,Fulehuk - Svenner,Gr�nningen - Ryvingen,Gr�nningen - Ryvingen,Gr�nningen - Ryvingen,Gr�nningen - Ryvingen,Hausen,Hoft�ya,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Homborsund - Gr�nningen,Ildverket,Kringlene,Lauer,Lindesnes - Lista,Lindesnes - Lista,Mefjordb�en, Hvaler,Mefjordb�en, Hvaler,Melleskj�r,M�kkalasset - Torungen,M�kkalasset - Torungen,M�kkalasset - Torungen,M�kkalasset - Torungen,M�kkalasset - Torungen,M�lnbukta,Neskrakken,Nevlunghavn,Nevlunghavn,Nevlunghavn,Nevlunghavn,Nevlunghavn,Nevlunghavn,Norden,Norden,Norden,Norden,Norge,Ramvikholmen,Ramvikholmen,Ryvingen - Lindesnes,Ryvingen - Lindesnes,Ryvingen - Lindesnes,Ryvingen - Lindesnes,Sand�sund,Sand�sund,Sand�sund,Sel�sundet,Smedjan,Stangholmen - Jomfruland,Stangholmen - M�kkalasset,Stangholmen - M�kkalasset,Stangholmen - M�kkalasset,Stangholmen - M�kkalasset,Stangholmen - M�kkalasset,Stangholmen - M�kkalasset,Store Angret,Store Angret,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Store F�rder,Storegrunnen,Storskj�r,Svenner - Jomfruland,Svenner - Jomfruland,Svenner - Jomfruland,Teineb�en - Bol�rne,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Torungen - Homborsund,Troms�
Arcturus baffini	27		Arcturidae	22.07.1930,19.09.1900,19.09.1900,23.07.1931,19.07.1901,20.09.1900,18.07.1901,02.08.1901,01.10.1926,19.07.1930,19.07.1930,18.07.1930,19.07.1930,12.08.1930,?,###############################################################################################################################################################################################################################################################,05.07.1901,26.06.1901,07.08.1901,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,01.08.1900,17.08.1930,15.08.1930,23.07.1900,22.07.1900,22.07.1900	Claveringfjorden,Forvisnings Valley,Forvisnings Valley,Gr�nlandshavet,G�sefjord,G�sefjord,G�sefjord,G�sefjord,Island,Kapp Herschel, Claveringfjorden,Kapp Herschel, Claveringfjorden,Kapp Herschel, Claveringfjorden,Kapp Herschel, Claveringfjorden,Kong Oscars fjord,K�benhavn,Norskehavet,Nunavut,Nunavut,Renbukten,Rice Strait,Rice Strait,Stordalen,Vegasund,Vegasund,Vinterhavnen,Vinterhavnen,Vinterhavnen
Atylus carinatus	36		Atylidae	?,###############################################################################################################################################################################################################################################################,19.09.1900,?,18.07.1901,02.08.1901,30.07.1929,17.07.1930,17.07.1930,18.07.1930,19.07.1930,22.07.1932,28.06.1901,30.07.1929,27.07.1932,28.07.1929,12.07.1900,01.01.1913,?,?,17.07.1902,19.07.1902,?,###############################################################################################################################################################################################################################################################,16.08.1901,30.07.1900,09.07.1901,30.08.1901,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,30.08.1900,26.07.1900,?,24.07.1900,08.08.1900	Anonym,Cape Sabine,Forvisnings Valley,Gr�nland,G�sefjord,G�sefjord,Herchelhus,Herchelhus,Herchelhus,Herchelhus,Herchelhus,Herchelhus,Hvalros Fjord,Kapp Herschel, Claveringfjorden,Kapp Humboldt, Ymer�ya,Landingsdalen,Lands End,Laptevhavet,Norden,Norsk�yene,North Devon,North Devon,Novaja Zemlja,Novaja Zemlja,Nunavut,Nunavut,Nunavut,Nunavut,Penn Island,Rice Strait,Selhundsbukta,Stordalen,Stordalen,Troms�,Vinterhavnen,Vinterhavnen
Boreomysis tridens	11		Mysidae	?,22.06.1961,22.06.1961,?,?,?,28.05.1981,?,?,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################	Abelv�r,Hamb�ra,Hamb�ra,Lofoten,Lofoten,Lofoten,Namsenfjorden,R�dberget,Trondheimsfjorden,Vestfjorden,Vestfjorden
Bythocaris payeri	11		Hippolytidae	?,08.08.1932,19.08.1932,20.08.1930,11.08.1931,###############################################################################################################################################################################################################################################################,29.06.1902,###############################################################################################################################################################################################################################################################,?,?,17.08.1930	Anonym,Bontekoe�ya,Dusenfjorden,Kapp Bennet,Kapp Stosch, Claveringfjorden,Lofoten,Norskehavet,Norskehavet,Norskehavet & Gr�nlandshavet,Norskehavet & Gr�nlandshavet,Vegasund
Bythocaris simplicirostris	6		Hippolytidae	20.08.1931,20.08.1930,04.08.1932,03.08.1900,?,###############################################################################################################################################################################################################################################################	Dusenfjorden,Kapp Bennet,Nathorstfjorden,Nord-Atlanterhavet,Norden,Norskehavet & Gr�nlandshavet
Caligus curtus	5	Siphonostomatoida	Caligidae	###############################################################################################################################################################################################################################################################,?,?,?,###############################################################################################################################################################################################################################################################	Bod�,Manger,Norden,Oslofjorden,Ropelv
