JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F19188	F	19188		Crustacea	Amphipoda		Acanthonotozomatidae	Acanthonotozoma rusanovae			Finnmark		Finmark			?	?	-	?	?	=	1								Ethanol		Sars, Georg Ossian	Just, Jean		Pr�ven er utskilt fra F13940, A.serratum av J.Just i 1982.	
F17218	F	17218		Crustacea	Amphipoda		Acanthonotozomatidae	Acanthonotozoma rusanovae			Gr�nland		Gr�nland			?	?	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Just, Jean		Pr�ven er utskilt fra F14565, A.serratum av J.Just i 1976 .	
F19187	F	19187		Crustacea	Amphipoda		Acanthonotozomatidae	Acanthonotozoma rusanovae			Lofoten		Lofoten			?	?	-	?	?	=	1								Ethanol		Sars, Georg Ossian	Just, Jean		Pr�ven er utskilt fra F13938, A.serratum av J.Just i 1982.	
F17217	F	17217		Crustacea	Amphipoda		Acanthonotozomatidae	Acanthonotozoma rusanovae			Norsk�yene		Norske�yene, Svalbard			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Just, Jean		Pr�ven er utskilt fra A.serratum (F1959) av J.Just i 1976 .	JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F15232	F	15232		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Finnmark		Finmarken			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"I journal st�r det ""Rev. G.O.Sars 1896"". Opprinnelig bestemmer/ bestemmelse er ukjent. I anm.feltet: ""Fandrem""."	
F15233	F	15233		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Finnmark		Finmarken			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		"I journal  st�r det ""Rev. G.O.Sars 1896"". Opprinnelig bestemmer/ bestemmelse er ukjent. I anm.feltet: ""Fandrem""."	
F15231	F	15231		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Oslofjorden		Christianiafjord			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		"I journal  st�r det ""Rev. G.O.Sars 1896"". Opprinnelig bestemmer/ bestemmelse er ukjent. I anm.feltet: ""Esmark""."	
F15234	F	15234		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Oslofjorden		Christianiafjord			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"I journal  st�r det ""Rev. G.O.Sars 1896"". Opprinnelig bestemmer/ bestemmelse er ukjent. "	
F15235	F	15235		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Oslofjorden		Christianiafjord			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"I journal st�r det ""Rev. G.O.Sars 1896"". Opprinnelig bestemmer/ bestemmelse er ukjent. "	
F15810	F	15810		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Spitsbergen		Spitzbergen			?	?	-	?	?	=	5								Ethanol		Lund	Anonym			
F15985	F	15985		Crustacea	Isopoda		Aegidae	Aega crenulata	L�tken		Spitsbergen		Spizbergen			?	?	-	?	?	=	1								Ethanol		Fandrem	Anonym			JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F13465	F	13465		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Espev�r		Espev�r			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B. og H."" og ""Rev. G.O.Sars"""	
F13477	F	13477		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Finnmark		Finm.			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""	
F13463	F	13463		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Finnmark & Vest-Norge		Finm.			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""G.O.Sars"" og ""Rev. G.O.Sars"""	
F14733	F	14733		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Frankrike		France			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.	
F13469	F	13469		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Gr�t�ya		Gr�t�			?	?	-	?	?	=	3								Ethanol		Sars, Michael?	Sars, Georg Ossian			
F13466	F	13466		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Kristiansund		Chr.sund			?	?	-	?	?	>	2								Ethanol		Rasch?	Sars, Georg Ossian			
F13474	F	13474		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Manger		Manger			?	?	-	?	?	=	7								Ethanol		Sars, Michael?	Sars, Georg Ossian			
F13462	F	13462		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Namdalen		Namdalen			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""	
F13464	F	13464		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Norden		Lok.?			?	?	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""	
F13478	F	13478		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Norge		Lok.?			?	?	-	?	?	=	1								Ethanol		Schneider, Hans Jacob Sparre	Sars, Georg Ossian			
F13468	F	13468		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Oslofjorden		Chr.fj.			?	?	-	?	?	=	5								Ethanol		Sars, Michael?	Sars, Georg Ossian			
F13476	F	13476		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Oslofjorden		Chr.fj.			?	?	-	?	?	=	9								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""G.O.Sars"" og ""Rev. G.O.Sars"""	
F13475	F	13475		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Vads�		Vads�			?	?	-	?	?	=	1								Ethanol		Sars, Michael?	Sars, Georg Ossian			JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
F23845	F	23845		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Abelnes		Abelsn�s			?	?	-	?	?	=	?								Ethanol		Anonym	McLaughlin, Patsy			
F22879	F	22879		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Arendal		Arendal			?	?	-	?	?	=	2								Ethanol		Sch�belen	McLaughlin, Patsy		"Pagurus l�vis Thompson er ""nomen nudum"" iflg. Sandberg og McLaughlin 1998.( Iflg. WoRMS er autor for Pagurus laevis og Anapagurus laevis ikke Thompson, men Bell.)"	
F22991	F	22991		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bev�ya		Bev�en, Jel�ya		8	24.05.1952	24.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
F23204	F	23204		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bev�ykollen		Bev�kollen, Jel�ya		3	24.05.1952	24.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy			
F22996	F	22996		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bile		Syd f. Bil�en, Jel�ya		1	19.03.1953	19.03.1953	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.			
