species	number	order	family	collDate	country
Gnathacmaeops pratensis	68	Coleoptera	Cerambycidae	1966-07-16,1983-07-06,1989-07-24,1995-07-07,1983-07-09,,1929-08-10,1976-06-22,1997-06-29,1915-07-26,1986-06-25,1985-07-12,1986-06-10,,,1985-08-19,1983-07-09,1985-07-12,1984-07-01,1985-07-14,1986-06-17,1986-07-06,1983-07-08,1966-07-16,1983-07-06,1989-07-24,1983-07-09,1986-06-25,1994-07-04,,,1895-05-28,,,,1924-07-23,1907,1908-07,,1900-07-21,1893-07-25,,1909-07-21,1902-07-25,1921-07,,1910-07-29,,,,,,,,,,,,,,,1909-07,,,,1918-07,,	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,,,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,Norway,Norway,Norway,,Norway,,
Acmaeops smaragdulus	24	Coleoptera	Cerambycidae	,1966-07-07,,,,,,,1821,1821,,,,,,,1909,1969-07-17,1966-07,,1909,,,	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,Norway
Allandrus undulatus	6	Coleoptera	Anthribidae	1994-06,1994-07,1994-06-30,1994-07-29,1994-08-20,1993-08-10	Norway,Norway,Norway,Norway,Norway,Norway
Amara nigricornis	14	Coleoptera	Carabidae	1942-05-02,1929-06-02,,1904-06,1931-06-21,1934-07-02,,1977-06-03,1977-06-03,1977-06-14,1977-06-14,1977-06-14,1977-06-14,1977-06-12	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Anthribus scapularis	4	Coleoptera	Anthribidae	,,,1914-06	Norway,Norway,Norway,Norway
Aphodius foetens	33	Coleoptera	Scarabaeidae	,,1881-07,,1990-08-19,1941-09-08,1925-07,,1921-10,,1882-07,1918-07,1939-06-04,1920-06-27,,,1848-08-15,1848-08-15,1874-07-19,,,,1926-06-23,,,,,,,1893-09-28,1895-07-10,,2008-06-30	Norway,Norway,Norway,Norway,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Aphthona atrocaerulea	3	Coleoptera	Chrysomelidae	1992-06-06,1992-08-26,1991-09-19	Norway,Norway,Norway
Bembidion lapponicum	108	Coleoptera	Carabidae	1930-06-25,,1924-06,1908-06,1924-06,1924-06,1924-06,1924-06,1924-06,1924-06,,1910-06,1930-06-25,1904,1908-06,1908-06,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,1930-06-28,,1877-07-11,,1897-06-10,1897-06-09,1909-06,1916-06-23,1931-06-22,1909-06,1989-06-26,1984-06-18,1984-06-18,1982-06-26,1982-06-28,1989-06-27,1989-06-27,1989-06-27,1989-06-30,1911-07,,,1883-07-03,1897-06,,,1909,,,1908-06,,1916-06-08,1894-07-20,,,,,,,,,,,,1924-06,1931-06-21,,1931-06-24,1981-07-13,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-24,1931-06-21,,,	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,
Bembidion lunatum	38	Coleoptera	Carabidae	,1906,1918-06-05,1925-09-04,,1911,1922-07,1922-07,1918-06,1915,1915,1915,1934-06,1922-07-18,1912-09,1922-07,,,1906,1907,1906-07,1906-07,1925-07,,,1911-09,1909-06,1925-06,,1922-06,1918-06,,1926-06-23,1981-07-02,1979-07-20,1919-07-24,,	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,Norway,Norway,Norway,Norway,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Bruchus occidentalis	2	Coleoptera	Chrysomelidae	1998-06-28,1998-06-28	Sweden,Sweden
Byrrhus fasciatus	156	Coleoptera	Byrrhidae	,,,,,,1924-06,1924-06,1924-06,1924-07,1910-06,1910-06,1924-05,1924-05,1924-05,,1924-07,1924-07,1924-07,1924-07,1924-07,1924-07,,,1924-08,1893-07-24,1916-07,1926-06-20,1913-07-01,,,1907-05,1907-05,1907-05,1907-05,1907-05,1907-05,,1925-05-20,1907-07,1907-07,1907-07,1907-07,1907-07,,,,,,,,,,,,,,,,,,1904-05,1904-05,1904-05,1924-07,1924-07,1924-07,,,,1910-06,1910-07,1907,1904-06,1904-07,1942-06-25,1915-06-21,1926-05,,,,,,,,,,,,,,,1909-07,,1924-08,1923-08,1902-06,1902-06,,,1919-06,1919-06,1878,,,,,1915,1915,1928-08-18,1928-08-18,1928-08-18,1928-08-18,,1919-05,1919-05,1909-06,,,,,1904-06,1904-06,1904-06,1922-06,1906-07,,1907,,1906-07,,,1919-06,1904-06,1964-08,1964-08-11,1964-08,,,,,,,,,,,,,,,1993-05-02,1995-06-27,2002-06,1993-06-06,1998-07-23	Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,,,,,,,,,,,,,,,,,Norway,Norway,Norway,Norway,Norway,Norway,,,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Calosoma auropunctatum	1	Coleoptera	Carabidae	1910-05-18	Norway
