species	number	order	family	collDate	country
Allantactis parasitica	19	Actinaria	Hormathiidae	08.08.1930,11.08.1931,20.08.1931,19.08.1931,11.08.1932,07.08.1932,20.09.1900,14.08.1931,20.08.1930,13.08.1931,12.08.1930,05.08.1932,28.06.1902,18.08.1930,15.08.1932,15.08.1932,15.08.1930,15.08.1930,17.08.1930	Alpefjorden,Claveringfjorden,Dusenfjorden,Frans Josefs fjord,Geologfjord,Grantafjorden,G�sefjord,Hold with Hope,Kapp Bennet,Kapp Mary,Kong Oscars fjord,Kong Oscars fjord,Nord-Atlanterhavet,Sofiasundet,Tyrolerfjorden,Tyrolerfjorden,Vegasund,Vegasund,Vegasund
Antennella secundaria	7	Hydroida	"Halopterididae "	12.07.1931,07.11.1931,11.11.1931,11.11.1931,22.11.1931,03.12.1931,07.06.1931	Split,Split,Split,Split,Split,Split,Split
Antennella secundaria pinnata	1	Hydroida	"Halopterididae "	07.11.1931	Split
Antennella secundaria typica	3	Hydroida	"Halopterididae "	07.11.1931,25.08.1930,12.07.1931	Split,Split,Split
Ascidia obliqua	10	Ascidiacea	Ascidiidae	?,?,?,04.07.1937,21.07.1908,22.07.1908,?,01.01.1907,15.08.1930,17.08.1930	Dr�bak,Eids�, Syvdefjorden,Maine, gulf of Maine,Skrova,Tj�me,Tj�me,Troms�,Troms�ysundet,Vegasund,Vegasund
Axinella arctica	12		Axinellidae	?,?,01.01.1915,?,?,?,24.06.1911,?,?,?,?,12.07.1910	Bod�,Dr�bak,Kopervik,Norden,Norden,Nygrunnen,Rauer,Skjerjehamn,Skjerjehamn,Skjerjehamn,Skjerjehamn,Stormeberget
Campanularia hincksii	15	Hydroida	Campanulariidae	?,?,07.11.1931,31.01.1932,05.01.1932,05.08.1931,05.01.1932,22.11.1932,17.01.1931,22.11.1931,03.12.1931,05.01.1932,05.10.1931,17.01.1931,?	Espev�r,Norden,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Sveti Juraj,Vard�
Ciona gelatinosa	5	Ascidiacea	Cionidae	###############################################################################################################################################################################################################################################################,27.07.1930,11.08.1932,12.08.1930,15.08.1930	Barentshavet,Claveringfjorden,Geologfjord,Kong Oscars fjord,Vegasund
Cornularia cornucopiae	8	Alcyonaria	Cornulariidae	05.01.1932,04.11.1931,03.11.1931,05.10.1931,01.11.1931,19.09.1931,19.09.1931,19.09.1931	Kasuni,Kasuni,Split,Split,Split,Vranjic,Vranjic,Vranjic
Dendrodoa pulchella	11	Ascidiacea	Styelidae	08.08.1930,08.08.1930,08.08.1932,03.08.1931,20.08.1931,19.07.1930,19.07.1930,04.08.1931,12.08.1930,04.08.1932,04.08.1932	Alpefjorden,Alpefjorden,Bontekoe�ya,Bontekoe�ya,Dusenfjorden,Kapp Herschel, Claveringfjorden,Kapp Herschel, Claveringfjorden,Kong Oscars fjord,Kong Oscars fjord,Nathorstfjorden,Nathorstfjorden
