JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad	
B357	B	357		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Alpefjorden		Pr. 1081, Alpfjorden	1081		08.08.1930	08.08.1930	-	70	70	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B352	B	352		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Claveringfjorden		Pr. 31, Claveringfjorden	31		11.08.1931	11.08.1931	-	?	?	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B355	B	355		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Dusenfjorden		Pr. 55, Dusenfjorden	55		20.08.1931	20.08.1931	-	75	185	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B354	B	354		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Frans Josefs fjord		Pr. 50, Frans Josefs Fjord	50		19.08.1931	19.08.1931	-	502	502	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B401	B	401		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Geologfjord		Pr. 609, Geologfjorden	609		11.08.1932	11.08.1932	-	625	650	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B404	B	404		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Grantafjorden		Pr. 554, Grantafjorden	554		07.08.1932	07.08.1932	-	82	82	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B1839	B	1839		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		G�sefjord		Gaasefjordens bund			20.09.1900	20.09.1900	-	5,6	38	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Carlgr.		3-20f.	
B353	B	353		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Hold with Hope		Pr. 37, syd av Hold with hope	37		14.08.1931	14.08.1931	-	260	310	=	9							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B363	B	363		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Kapp Bennet		Pr. 1131, syd av K.Bennet	1131		20.08.1930	20.08.1930	-	290	290	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
B356	B	356		Cnidaria	Anthozoa	Actinaria	Hormathiidae	Allantactis parasitica	Danielssen		Kapp Mary		Pr. 36, syd av K.Mary	36		13.08.1931	13.08.1931	-	230	250	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Carlgren			
