Order_orig.	Familiy_orig.	Orig._comb.		Described_as	Name	Author	Year	Page	Bar code	Type kind	Are we sure it is a published name?	Conserved as	Where	Associated preparation numbers	Labeled as type	Label(s)	Specimens	Males	Females	Larvae	Pupae	Original description checked?	Author(s)	Year	Title	Reference	Editors	Place	Periodicle	Publisher	Volume	Pages	Expedition	Country	Years	Province/Region/State	District/County/Municip.	This is type locality	Order.	Family	Genus	Combination	Author and year	Status	Reference to curr. taxonomy	Reference to publication of lectotype	Date	Remarks	Recorder	Locality	Country	Invalid details	Current combination established by	Record_ID	Search by bar code	Copy
				Species	coracina		0	0		Holotype	FALSE	Pinned	Pinned type collection		FALSE		0	0	0	0	0	FALSE																									12.05.2022							1200		0
				Species	Elachista		1994	184		Holotype	TRUE	Pinned	Pinned type collection		TRUE		1	1	0	0	0	FALSE																									21.03.2015							1199		0
		Cincus oeklandi		Species	oeklandi	Roman	0	0			FALSE	Pinned	On loan		FALSE		1	0	0	0	0	FALSE																									09.11.2005	On loan to L. K. Smith 26 August 1963.	Lønnve, Ole					1052		0
	Staphylinidae							0	10001955		FALSE	Pinned	Pinned type collection		TRUE	"Ca. b. Teberda VI. 912 Roubal"(yellow label), "Typus"(yellow label), "Deinekini m. Roubal det."	1	0	0	0	0	FALSE																	Coleoptera	Staphylinidae							08.11.2005		Olberg, Stefan					998		0
Coleoptera		Acrotrichis similaris		Species	similaris	Sundt	1969	52	10002269	Holotype	TRUE	Pinned	Pinned type collection		TRUE	("Doryo-san near Odawara M. Kubota","April 14 1942", "Acrotrichis similaris n. sp. E. Sundt1-69.","1/67:6 foto Sundt","holoype Acrotrichis similaris Sundt1969.")	1	0	0	0	0	FALSE															Odawara ?	Yes	Coleoptera	Ptiliidae	Acrotrichis	Acrotrichis similaris	Sundt, 1969	Valid			14.12.2005	Eksemplaret fra Sundts samling.	Kvamme, Torstein	Doryo-san near Odawara	Japan			1105		0
Coleoptera		Anaspis norvegica		Species	norvegica	Münster	1924	0	10001969		FALSE	Pinned	Pinned type collection		FALSE	"Grimstad 6-20, Munster"	1	0	0	0	0	FALSE														Aust-Agder	Grimstad		Coleoptera	Scraptiidae	Anaspis	Anaspis bohemica	Schilsky, 1898				08.11.2005		Olberg, Stefan	Grimstad	Norway			1012		0
Coleoptera		Anaspis norvegica		Species	norvegica	Münster	1924	0	10001968		FALSE	Pinned	Pinned type collection		FALSE	"Bossekop, Alten Münster VI/10"	1	0	0	0	0	FALSE														Finnmark	Alta		Coleoptera	Scraptiidae	Anaspis	Anaspis bohemica	Schilsky, 1898				08.11.2005		Olberg, Stefan	Bossekop	Norway			1011		0
Coleoptera		Anaspis norvegica		Species	norvegica	Münster	1924	0	10001967		FALSE	Pinned	Pinned type collection		TRUE	"Karasjok VII/09 Ths.Münster", "TYPUS"(red label), "Anaspis norvegica type."	2	0	0	0	0	FALSE														Finnmark	Karasjok		Coleoptera	Scraptiidae	Anaspis	Anaspis bohemica	Schilsky, 1898				08.11.2005		Olberg, Stefan	Karasjok	Norway			1010		0
Coleoptera		Atheta holtedahli		Species	holtedahli	Münster	0	0	10002038		FALSE	Pinned	Pinned type collection		TRUE	"Novaj. Semlja, 123", "Økland", " Atheta holtedahli n. sp.", "Typus (red label)"	1	0	0	0	0	FALSE											Novaja Semlya	Russia	1921												12.10.2005		Lønnve, Ole					355		
Coleoptera		Augomela tibialis		Species	tibialis	..	0	0	10002063	..	FALSE	Pinned	Pinned type collection		TRUE	"Ceen R. Q., W. D. Dodd.", "Augomela tibialis Lea, Co type".	2	0	0	0	0	FALSE																									04.11.2005		Lønnve, Ole					799		0
Coleoptera		Brychius norvegicus		Species	norvegicus	Münster	1922	0	10001962		FALSE	Pinned	Pinned type collection		FALSE	"Mjösen J.F.Berg."	1	0	0	0	0	FALSE																	Coleoptera	Haliplidae	Brychius	Brychius elevatus ssp norvegicus	Munster, 1922				08.11.2005		Olberg, Stefan					1007		0
Coleoptera		Brychius norvegicus		Species	norvegicus	Münster	1922	0	10001963		FALSE	Pinned	Pinned type collection		FALSE	"Mjösen J.F.Berg."	1	0	0	0	0	FALSE																	Coleoptera	Haliplidae	Brychius	Brychius elevatus ssp norvegicus	Munster, 1922				08.11.2005		Olberg, Stefan					1006		0
Coleoptera		Brychius norvegicus		Species	norvegicus	Münster	1922	0	10001961		FALSE	Pinned	Pinned type collection		TRUE	"Bøn--Dal 4/8.18 Munster", "TYPUS"(red label), "Brychius norvegicus"	2	0	0	0	0	FALSE																	Coleoptera	Haliplidae	Brychius	Brychius elevatus ssp norvegicus	Munster, 1922				08.11.2005		Olberg, Stefan					1004		0
Coleoptera		Brychius norvegicus		Species	norvegicus	Münster	1922	0	10001964		FALSE	Pinned	Pinned type collection		FALSE	"Mjösen L. Esmark."	1	0	0	0	0	FALSE																	Coleoptera	Haliplidae	Brychius	Brychius elevatus ssp norvegicus	Munster, 1922				08.11.2005		Olberg, Stefan					1001		0
Coleoptera		Cis comptus var substriatus		Variation	comptus var substriatus	Münster	0	0	10001893		FALSE	Pinned	Pinned type collection		FALSE	"Sandnes, Dr.dal 6-20.Munster", "C. comptus v. substriatus"	1	0	0	0	0	FALSE																	Coleoptera	Ciidae	Cis	Cis comptus	Gyllenhal, 1827				07.11.2005		Olberg, Stefan					902		0
Coleoptera		Cis comptus var substriatus		Variation	comptus var substriatus	Münster	0	0	10001892		FALSE	Pinned	Pinned type collection		FALSE	"Sandnes, Dr.dal 6-20.Munster"	1	0	0	0	0	FALSE																	Coleoptera	Ciidae	Cis	Cis comptus	Gyllenhal, 1827				07.11.2005		Olberg, Stefan					901		0
Coleoptera		Cryptophagus lysholmi		Species	lysholmi	Münster	0	0	10001905		FALSE	Pinned	Pinned type collection		FALSE	"29", "Nordmo, Måls. Schn. 8:08"	1	0	0	0	0	FALSE														Troms	Målselv		Coleoptera	Cryptophagidae	Cryptophagus	Cryptophagus lysholmi	Munster, 1932				07.11.2005		Olberg, Stefan	Nordmoen	Norway			914		0
Coleoptera		Cryptophagus lysholmi		Species	lysholmi	Münster	0	0	10001904		FALSE	Pinned	Pinned type collection		FALSE	"28", "Framnes M.elv A. Strand 25/6-30", "Lysholmi"	1	0	0	0	0	FALSE																	Coleoptera	Cryptophagidae	Cryptophagus	Cryptophagus lysholmi	Munster, 1932				07.11.2005		Olberg, Stefan					913		0
Coleoptera		Cryptophagus lysholmi		Species	lysholmi	Münster	0	0	10001903		FALSE	Pinned	Pinned type collection		FALSE	"Bjerkeng M.elv A. Strand 23/6-30", "female", "Cryptophagus Lysholmi"	1	0	0	0	0	FALSE														Troms	Målselv		Coleoptera	Cryptophagidae	Cryptophagus	Cryptophagus lysholmi	Munster, 1932				07.11.2005		Olberg, Stefan	Bjørkeng	Norway			912		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001884		FALSE	Pinned	Pinned type collection		FALSE	"Ilseng, Romedal 25-8-20.Munster", "74 48"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10063 Z.M.Oslo"	1	0	0	0	0	FALSE														Hedmark	Stange		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Ilseng, Romedal	Norway			896		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001883		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster", "74 50"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10065 Z.M.Oslo"	2	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			895		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001862		FALSE	Pinned	Pinned type collection		FALSE	"Kongsberg Munster.", "74 40"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10055 e Z.M.Oslo"	6	0	0	0	0	FALSE														Buskerud	Kongsberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Kongsberg	Norway			894		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001885		FALSE	Pinned	Pinned type collection		FALSE	"Lyngdal,Busk. VIII-22, Munste", "74 42"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10057 Z.M.Oslo"	2	0	0	0	0	FALSE														Buskerud	Flesberg		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Lyngdal	Norway			893		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001882		FALSE	Pinned	Pinned type collection		FALSE	"Fiskum ", "74 44"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10059 Z.M.Oslo"	1	0	0	0	0	FALSE														Buskerud	Øvre Eiker		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Fiskum	Norway			892		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001880		FALSE	Pinned	Pinned type collection		FALSE	"N. Eker ", "74 14"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10046 Z.M.Oslo"	2	0	0	0	0	FALSE														Buskerud	Nedre Eiker		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Nedre Eiker	Norway			891		0
Coleoptera		Cyphon kongsbergensis		Species	kongsbergensis	Münster	1924	0	10001879		FALSE	Pinned	Pinned type collection		FALSE	"Lysakermyren 28-7-22. Munster", "74 13"(red label), "kongsbergensis Munst. T. Nyholm det.", "Gk10045 Z.M.Oslo"	1	0	0	0	0	FALSE														Akershus	Bærum		Coleoptera	Scirtidae	Cyphon	Cyphon kongsbergensis	Munster, 1924				04.11.2005		Olberg, Stefan	Lysaker	Norway			890		0
