basisOfRecord	catalogNumber	scientificName	institutionCode	collectionCode	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	identificationRemarks	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	habitat	associatedMedia	CreativeCommonsLicense	ArtObsID	relatedResourceID	coreid	musitModified	itemID	organismID	RelCatNo	RelCleanCatNo	rightsHolder	coremaBasisOfRecord	informationWithheld	preparations	materialSampleType	coremaModified	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	concentration	concentrationUnit	coremaRecordNumber	coremaRecordedBy	coremaEventDate	coremaCountry	coremaProvince	coremaCounty	coremaLocality	coremaElevation	coremaLat	coremaLong	coremaIdentificationRemarks	coremaTypeStatus	coremaIdentifiedBy	coremaDateIdentified	coremaScientificName	coremaGenus	coremaSpecificEpithetbasisOfRecord
Preserved specimen	10446	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Bjørn Arve Sagvolden						Reidar Mehl	1966-07-16		Norway	Troms og Finnmark	Sør-Varanger	Gjøkbukta Z.M.O.`s Passvik ekspedisjon 1966						på geitrams						2020-10-12																																				
Preserved specimen	10447	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Bjørn Arve Sagvolden						Tore Randulff Nielsen	1983-07-06		Norway	Troms og Finnmark	Sør-Varanger	Kirkenes												2014-03-19																																				
Preserved specimen	10448	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Bjørn Arve Sagvolden						Tore Randulff Nielsen	1989-07-24		Norway	Troms og Finnmark	Tana	Seida												2014-03-19																																				
Preserved specimen	135845	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Alf Bakke	1995-07-07		Norway	Vestfold og Telemark	Notodden	Lisleherad	9.2782	59.6043	10000			ABA						2014-06-02																																				
Preserved specimen	136809	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Oddvar Hanssen						Oddvar Hanssen	1983-07-09		Norway	Trøndelag	Lierne	Kvesjøen, Nordli	13.8076	64.5013	10000									2014-06-02																																				
Preserved specimen	136810	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Thomas Georg Münster			Norway	Troms og Finnmark	Karasjok	Karasjok	25.5105	69.4721	10000			TN						2014-06-02																																				
Preserved specimen	136811	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Andreas Strand	1929-08-10		Norway	Troms og Finnmark	Sør-Varanger	Bjørnsund, Sør-Varanger	30.0806	69.4651	1000									2014-06-02																																				
Preserved specimen	136812	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Karl Erik Zachariassen	1976-06-22		Norway	Innlandet	Alvdal	Alvdal	10.6302	62.1079	10000									2014-06-02																																				
Preserved specimen	136813	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Alf Bakke	1997-06-29		Norway	Innlandet	Grue	Svullrya	12.4001	60.4183	1000									2014-06-02																																				
Preserved specimen	136814	Gnathacmaeops pratensis	NHMO	ENT	(Laicharting, 1784)	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acmaeops			Torstein Kvamme						Hans Warloe	1915-07-26		Norway			Valdres						Det er ikke mulig å si noen bestemt rutenr. Gamle dyr samlet av bl. a.  Warloe er merket med bare Valdres. Området ligger i både Øystre Slidre, Vestre Slidre og Nord-Aurdal kommuner, og er derfor i både OS og ON.						2014-06-02																																				
