sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
1	urn:uuid:363beec6-2649-4c4c-8f3c-123727a0973d	urn:uuid:024d17d6-ee5b-537d-837d-afbc5f0e0236	urn:uuid:363beec6-2649-4c4c-8f3c-123727a0973d	NHMO	BI	NHMO-BI-14007/1-B | NHMO-BI-14007/2-D | NHMO-BI-14007/3-D | NHMO-BI-14007/4-B	14007	Natural History Museum, University of Oslo, Norway	MaterialSample		Yosef, Reuven	Female		Blood	Existing	03.08.2007	Israel			Eilat		29.55	34.933333		Yosef, Reuven	03.08.2007		Oenanthe monacha (Temminck, 1825)	Passeriformes	Muscicapidae	Oenanthe	monacha		species	(Temminck, 1825)	Ethanol, 96% |  | Buffer	Blood | gDNA | MaterialSample	 | Omega EZNA kit, plate	 | Marthinsen, Gunnhild | Hogner, Silje	 | 2008-07-23	 | 	BOI048-08 | 	Tissue | DNA | 			
2	urn:uuid:c2c95694-cd50-4233-8bfc-b2c15e666303	urn:uuid:02ef4af5-d4ae-5f46-8f59-1fdcf2933b4e	urn:uuid:c2c95694-cd50-4233-8bfc-b2c15e666303	NHMO	BI	NHMO-BI-25193/1-B | NHMO-BI-25193/2-S	25193	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	Male	Adult	Blood	Existing	26.04.2010	Spain	Canarias	Santa Cruz de Tenerife	Tenerife, El Rosario		28.425833	-16.384722		"Laskemoen, Terje; Gohli, Jostein; Stensrud, Even; Garcia-del-Rey, Eduardo"	26.04.2010		Regulus regulus teneriffae Seebohm, 1883	Passeriformes	Regulidae	Regulus	regulus	teneriffae	subspecies	Seebohm, 1883	Ethanol, 96% | Formalin	Blood | Sperm sample						Tissue			
3	urn:uuid:448dcabf-7188-4292-81c3-19c8daf4a76e	urn:uuid:031a437b-4b88-57a8-8255-961e8fcecf1c	urn:uuid:448dcabf-7188-4292-81c3-19c8daf4a76e	NHMO	BI	NHMO-BI-59054/1-P	59054	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Unknown	Unknown	Study skin	Existing		India								Unknown			Porphyrio poliocephalus poliocephalus (Latham, 1801)	Gruiformes	Rallidae	Porphyrio	poliocephalus	poliocephalus	subspecies	(Latham, 1801)	Dry	Study skin		J.I.J				Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903397&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13903398&type=jpeg
4	urn:uuid:2c355ef6-1172-4285-a663-93047400158c	urn:uuid:03d3e748-3ade-5aad-9324-70b936d744b3	urn:uuid:2c355ef6-1172-4285-a663-93047400158c	NHMO	BI	NHMO-BI-62162/1-P	62162	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Unknown	Male	Juvenile	Mounted	Existing	1888-02-23	Russian Federation	Republic of Dagestan		Terek-Oblast, N. Kaukasus					Unknown	1888-02-23		Lyrurus mlokosiewiczi (Taczanowski, 1875)	Galliformes	Phasianidae	Lyrurus	mlokosiewiczi		species	(Taczanowski, 1875)	Dry	Mounted		J.I.J				Specimen			
5	urn:uuid:43977bbd-af4a-4a3a-9f0c-b08638533da8	urn:uuid:03f8d377-cb7c-5d00-855b-dc57afef5050	urn:uuid:43977bbd-af4a-4a3a-9f0c-b08638533da8	NHMO	BI	NHMO-BI-76682/1-B | NHMO-BI-76682/2-S	76682	Natural History Museum, University of Oslo, Norway	MaterialSample		Lifjeld, Jan T.	Male	Adult	Blood	Existing	30.10.2014	Cape Verde	Sotavento	Santiago	Praia airport		14.926333	-23.602583		Lifjeld, Jan T.	30.10.2014		Ammomanes cinctura cinctura (Gould, 1839)	Passeriformes	Alaudidae	Ammomanes	cinctura	cinctura	subspecies	(Gould, 1839)	Ethanol, 96% | Formalin, w/PBS	Blood | Sperm sample		Lifjeld, Jan T.	30.10.2014		BONMA743-15	Tissue			
6	urn:uuid:ef80eeeb-c85b-4304-991a-ebbb2cb722df	urn:uuid:055931f1-e7be-5e88-b4d3-6c3d228b65a0	urn:uuid:ef80eeeb-c85b-4304-991a-ebbb2cb722df	NHMO	BI	NHMO-BI-50270/1-P	50270	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Aall, Nicolai Benjamin collection	Unknown	Unknown	Mounted	Existing	1867-09	Norway	Aust-Agder	Tvedestrand	Dybvåg, Tvedestrand						1867-09		Puffinus mauretanicus Lowe, 1921	Procellariiformes	Procellariidae	Puffinus	mauretanicus		species	Lowe, 1921	Dry	Mounted						Specimen			http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292567&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292568&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292569&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15292570&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15424003&type=jpeg | http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15424004&type=jpeg
7	urn:uuid:051a164f-850b-418f-b67c-48f5bc3b92a1	urn:uuid:07395369-0793-5619-96a9-d6c7da27a9f4	urn:uuid:051a164f-850b-418f-b67c-48f5bc3b92a1	NHMO	BI	NHMO-BI-88176/1-S	88176	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	25.05.2016	Italy	Apulia		Lago Salso		41.541556	15.890056		Rowe, Melissah	25.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	25.05.2016			Tissue			
8	urn:uuid:533c90f8-4018-4647-b7af-bf82a8f485f0	urn:uuid:0895ccfc-edc9-584c-abd9-71514deb8790	urn:uuid:533c90f8-4018-4647-b7af-bf82a8f485f0	NHMO	BI	NHMO-BI-27589/1-B	27589	Natural History Museum, University of Oslo, Norway	MaterialSample		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	Female	Adult	Blood	Existing	10.03.2011	Portugal	Madeira		Quiemadas		32.783833	-16.906306		"Laskemoen, Terje; Garcia-del-Rey, Eduardo; Lifjeld, Jan T.; Johnsen, Arild; Gohli, Jostein; Stensrud, Even"	10.03.2011		Regulus madeirensis Harcourt, 1851	Passeriformes	Regulidae	Regulus	madeirensis		species	Harcourt, 1851	Ethanol, 96%	Blood						Tissue			
9	urn:uuid:dec1f377-ec78-4af8-aedb-e3031746cf36	urn:uuid:08c85a23-f675-5498-8902-2ab167b8ea76	urn:uuid:dec1f377-ec78-4af8-aedb-e3031746cf36	NHMO	BI	NHMO-BI-88156/1-S	88156	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
10	urn:uuid:ba527c41-bc06-439a-98e5-c31f83d08f25	urn:uuid:08dc6553-e222-5577-8c8e-49dfd57a41da	urn:uuid:ba527c41-bc06-439a-98e5-c31f83d08f25	NHMO	BI	NHMO-BI-88157/1-S	88157	Natural History Museum, University of Oslo, Norway	MaterialSample		Rowe, Melissah	Male	Adult	Sperm sample	Existing	22.05.2016	Italy	Apulia		Masseria Montanari		41.910222	15.853611		Rowe, Melissah	22.05.2016		Passer italiae (Vieillot, 1817)	Passeriformes	Passeridae	Passer	italiae		species	(Vieillot, 1817)	Formalin, w/PBS	Sperm sample		Rowe, Melissah	22.05.2016			Tissue			
