JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F13465	F	13465		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Espev�r		Espev�r			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B. og H."" og ""Rev. G.O.Sars"""																																																																
F13477	F	13477		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Finnmark		Finm.			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""																																																																
F13463	F	13463		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Finnmark & Vest-Norge		Finm.			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""G.O.Sars"" og ""Rev. G.O.Sars"""																																																																
F14733	F	14733		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Frankrike		France			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.																																																																
F13469	F	13469		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Gr�t�ya		Gr�t�			?	?	-	?	?	=	3								Ethanol		Sars, Michael?	Sars, Georg Ossian																																																																		
F13466	F	13466		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Kristiansund		Chr.sund			?	?	-	?	?	>	2								Ethanol		Rasch?	Sars, Georg Ossian																																																																		
F13474	F	13474		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Manger		Manger			?	?	-	?	?	=	7								Ethanol		Sars, Michael?	Sars, Georg Ossian																																																																		
F13462	F	13462		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Namdalen		Namdalen			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""																																																																
F13464	F	13464		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Norden		Lok.?			?	?	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og ""Rev. G.O.Sars"""																																																																
F13478	F	13478		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Norge		Lok.?			?	?	-	?	?	=	1								Ethanol		Schneider, Hans Jacob Sparre	Sars, Georg Ossian																																																																		
F13468	F	13468		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Oslofjorden		Chr.fj.			?	?	-	?	?	=	5								Ethanol		Sars, Michael?	Sars, Georg Ossian																																																																		
F13476	F	13476		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Oslofjorden		Chr.fj.			?	?	-	?	?	=	9								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""G.O.Sars"" og ""Rev. G.O.Sars"""																																																																
F13475	F	13475		Crustacea	Amphipoda		Amphithoidae	Amphithoe rubricata			Vads�		Vads�			?	?	-	?	?	=	1								Ethanol		Sars, Michael?	Sars, Georg Ossian																																																																		
