JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F23845	F	23845		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Abelnes		Abelsn�s			?	?	-	?	?	=	?								Ethanol		Anonym	McLaughlin, Patsy																																																																		
F22879	F	22879		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Arendal		Arendal			?	?	-	?	?	=	2								Ethanol		Sch�belen	McLaughlin, Patsy		"Pagurus l�vis Thompson er ""nomen nudum"" iflg. Sandberg og McLaughlin 1998.( Iflg. WoRMS er autor for Pagurus laevis og Anapagurus laevis ikke Thompson, men Bell.)"																																																																
F22991	F	22991		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bev�ya		Bev�en, Jel�ya		8	24.05.1952	24.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.																																																																		
F23204	F	23204		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bev�ykollen		Bev�kollen, Jel�ya		3	24.05.1952	24.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy																																																																		
F22996	F	22996		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bile		Syd f. Bil�en, Jel�ya		1	19.03.1953	19.03.1953	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.																																																																		
F23202	F	23202		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bilekrakken		Bilekrakken, Jel�ya		6	25.04.1952	25.04.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, Patsy																																																																		
F23805	F	23805		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bj�rk�ya		Langesundsfjorden, Bj�rk�ya			20.07.1969	20.07.1969	-	5	15	=	?				Skjellgrus				Ethanol		Sneli	McLaughlin, Patsy		Pr�ven er registrert: Pagurus cf. pubescens Kr�yer. Dt.: P.McLaughlin 1973-1994.																																																																
F23750	F	23750		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bol�rne		S. Bol�rne, Oslofj.			26.06.1911	26.06.1911	-	?	?	=	?								Ethanol		"""Hvitfisken"""	McLaughlin, Patsy		Dyrene i F23749 (Pagurus benhardus) og F23750 (Anapagurus cf. chiroacanthus) og F23751 (Pagurus cuanensis) var i samme glass f�r matr. ble bestemt av P.McLaughlin og reg. med reg.nr.. Originaletikett i F23749. Pr�ven er bestemt til A. cf. chiroacanthus: D																																																																
F22995	F	22995		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bustein		Bustein, Hvasser		1	18.08.1952	18.08.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McLaughlin, P.																																																																		
F22894	F	22894		Crustacea	Anomura		Paguridae	Anapagurus chiroacanthus	(Lilljeborg)		Bustein		Bustein, Vasser 59*5,95'N 10*28,9'E		8	08.08.1969	08.08.1969	-	20	25	=	1								Ethanol		Christiansen, Marit Ellen	McLaughlin, Patsy		Dt.: P.McLaughlin 1973-1994.																																																																
