JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F645	F	645		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Claveringfjorden		Claveringfjord	1019, 1020		22.07.1930	22.07.1930	-	25	25	=	1				Leire: r�dbrun, seig			Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F24668	F	24668		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Forvisnings Valley		Forvisningsdalen			19.09.1900	19.09.1900	-	3,8	38	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		2-20f. 2 individer utl�nt til Fram-museet 1988																																																																
F24666	F	24666		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Forvisnings Valley		Udfor Forvisningsdalen			19.09.1900	19.09.1900	-	3,8	38	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		2-20favne																																																																
F648	F	648		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Gr�nlandshavet		74*56'N 12*50'V	9		23.07.1931	23.07.1931	-	200	200	=	1				Mudder med Stein			Hoels Gr�nland ekspedisjon	Ethanol	Tr�l, Agassiz	Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F24673	F	24673		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		G�sefjord		Gaasefjorden			19.07.1901	19.07.1901	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		"""Ss"". Blandt Hydroida."																																																																
F24662	F	24662		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		G�sefjord		Gaasefjordens Bund			20.09.1900	20.09.1900	-	5,6	38	=	?				Leire, sm�stein			Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		3-20f.																																																																
F24667	F	24667		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		G�sefjord		Gaasfjorden Munding			18.07.1901	18.07.1901	-	60	60	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		c. 60m.																																																																
F24670	F	24670		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		G�sefjord		Inderst i Gaasfj.			02.08.1901	02.08.1901	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15825	F	15825		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Island		Nord av Island			01.10.1926	01.10.1926	-	564	564	=	6	2ad., 4unger							Ethanol		Pilskog	L�yning		300fv.																																																																
F651	F	651		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Kapp Herschel, Claveringfjorden		Kap Herschel	1017		19.07.1930	19.07.1930	-	78	80	>	10				Leire med litt alger			Hoels Gr�nland ekspedisjon	Ethanol	Skrape, trekantskrape	Hoels Gr�nland ekspedisjon	Nordenstam, �ke		Iflg. M.Thiel 1998 inneholder pr�ven et dyr som ikke er A.baffini.																																																																
F652	F	652		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Kapp Herschel, Claveringfjorden		Kap Herschel	1016		19.07.1930	19.07.1930	-	43	53	>	10				Leire med Sand			Hoels Gr�nland ekspedisjon	Ethanol	Skrape, trekantskrape	Hoels Gr�nland ekspedisjon	Nordenstam, �ke		Iflg. M.Thiel 1998 inneholder pr�ven et dyr som ikke er A.baffini.																																																																
F653	F	653		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Kapp Herschel, Claveringfjorden		Kap Herschel	1014		18.07.1930	18.07.1930	-	72	78	=	1				Mudder 			Hoels Gr�nland ekspedisjon	Ethanol	Skrape, trekantskrape	Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F646	F	646		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Kapp Herschel, Claveringfjorden		Kapp Herschel	1018		19.07.1930	19.07.1930	-	35	83	>	10				Stein og Leire			Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F650	F	650		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Kong Oscars fjord		K. Oscars Fjord	1101		12.08.1930	12.08.1930	-	55	100	=	4				Leire med Stein			Hoels Gr�nland ekspedisjon	Ethanol	Tr�l, Agassiz	Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F15826	F	15826		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		K�benhavn		K�benhavn Mus.			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym		Lokaliteten er oppgitt som K�benhavn Mus. Siden dette er A.baffini er en marin art er vel lokaliteten feil?																																																																
F1685	F	1685		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Norskehavet		64*36'N, 10*22'V	48		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	~	18							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F24674	F	24674		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Nunavut		Sundet			05.07.1901	05.07.1901	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F24663	F	24663		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Nunavut		Udf. Teltpladsen			26.06.1901	26.06.1901	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F24675	F	24675		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Renbukten		Renbugten, Ellesmere Land			07.08.1901	07.08.1901	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F24664	F	24664		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Rice Strait		Bugten, Rice Strait			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F24661	F	24661		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Rice Strait		Rice str.			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	7,5	38	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		4-20f.																																																																
F24672	F	24672		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Stordalen		Ret Udf. Stordalens Munding			01.08.1900	01.08.1900	-	19	19	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		10F.																																																																
F647	F	647		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Vegasund		Vegasund	1119		17.08.1930	17.08.1930	-	190	250	=	1				Leire: r�dbrun			Hoels Gr�nland ekspedisjon	Ethanol	Tr�l, reketr�l	Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F649	F	649		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Vegasund		Vegasund	1117		15.08.1930	15.08.1930	-	30	30	=	1				Leire: gr�			Hoels Gr�nland ekspedisjon	Ethanol	Tr�l, Agassiz	Hoels Gr�nland ekspedisjon	Nordenstam, �ke																																																																		
F24665	F	24665		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Vinterhavnen		Vinterhavnen			23.07.1900	23.07.1900	-	11	38	=	?				Stein, sm� 			Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		6-20f.																																																																
F24669	F	24669		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Vinterhavnen		Vinterhavnen			22.07.1900	22.07.1900	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		"6-20Favne (?) Matr. var i 2018 lagret i etanol. Siden det st�r ""(t�rr)"" p�  krt.kort har muligens materialet v�rt utt�rket for s� og bli oppmyket."																																																																
F24671	F	24671		Crustacea	Isopoda		Arcturidae	Arcturus baffini	(Sabine)		Vinterhavnen		Vinterhavnen			22.07.1900	22.07.1900	-	56	56	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		30f.																																																																
