JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F17481	F	17481		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Anonym		Lok.?			?	?	-	?	?	=	2								Ethanol		Anonym	Dons, C.																																																																		
F15075	F	15075		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Cape Sabine	Camp Clay	Cape Sabine, Camp Clay			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	3,8	9,4	>	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15084	F	15084		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Forvisnings Valley	Utsiden av Forevisnings Valley.	Outside the Forvisnings Valley			19.09.1900	19.09.1900	-	3,8	38	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F14558	F	14558		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Gr�nland		Gr�nland			?	?	-	?	?	=	2								Ethanol		Sars, Michael?	Sars, Georg Ossian																																																																		
F15087	F	15087		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		G�sefjord	Munningen av Gaasefjord.	Mouth of Gaase Fjord			18.07.1901	18.07.1901	-	60	60	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15088	F	15088		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		G�sefjord	�vre del av Gaasefjord.	Upper part of Gaase Fjord			02.08.1901	02.08.1901	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F1151	F	1151		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	9		30.07.1929	30.07.1929	-	8	10	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1152	F	1152		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	1010, 1011		17.07.1930	17.07.1930	-	6	8	>	10							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1153	F	1153		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	1012		17.07.1930	17.07.1930	-	6	8	>	10							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1154	F	1154		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	1013		18.07.1930	18.07.1930	-	6	8	=	4							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1155	F	1155		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	1016		19.07.1930	19.07.1930	-	43	53	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1156	F	1156		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Herchelhus		Herchelhus	504		22.07.1932	22.07.1932	-	7	7	>	10							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F15085	F	15085		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Hvalros Fjord	Munningen av Hvalros Fjord.	Mouth of Hvalros Fjord			28.06.1901	28.06.1901	-	?	?	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F3228	F	3228		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Kapp Herschel, Claveringfjorden		Kap Herschel	9		30.07.1929	30.07.1929	-	7,5	9,4	=	7				Sand og Mudder			Hoels Gr�nland ekspedisjon	Ethanol	Skrape	Hoels Gr�nland ekspedisjon	Stephensen, K.		Med enkelte spredte alger.																																																																
F1157	F	1157		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Kapp Humboldt, Ymer�ya	P� stranda	Kap. Humboldt. I stranden	512		27.07.1932	27.07.1932	-	?	?	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1150	F	1150		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Landingsdalen		Landingsdalen	8		28.07.1929	28.07.1929	-	20	26	=	5							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F15078	F	15078		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Lands End	Bukt ved Lands End.	Bay at Last End			12.07.1900	12.07.1900	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F993	F	993		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Laptevhavet		Nordenskjold Sea			01.01.1913	31.12.1913	-	?	?	=	1								Ethanol		"""Tajmyr"""	Gurjanova, E.		Materialet er mottatt i bytte.																																																																
F13677	F	13677		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Norden		Lok.?			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort: ""B."". I journal: ""Rev. G.O.Sars""."																																																																
F1840	F	1840		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Norsk�yene		Norske �yer, Svalbard			?	?	-	?	?	=	4							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F15090	F	15090		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		North Devon	�stsiden av den store breen.	East of the great glacier, North Devon			17.07.1902	17.07.1902	-	5,6	5,6	=	12							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15091	F	15091		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		North Devon	"""Off the camping ground""."	North Devon, off the camping-ground			19.07.1902	19.07.1902	-	5,6	13,2	=	7							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F14810	F	14810		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Novaja Zemlja		Nov. Zemlja			?	?	-	?	?	=	2								Ethanol		Anonym	Anonym																																																																		
F14663	F	14663		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Novaja Zemlja		Novaja Zemlja			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	5								Ethanol		Aagaard?	Sars, Georg Ossian																																																																		
F15074	F	15074		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Nunavut		Lok.?			16.08.1901	16.08.1901	-	13,2	13,2	>	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15081	F	15081		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Nunavut		Lok.?			30.07.1900	30.07.1900	-	?	?	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15086	F	15086		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Nunavut		Lok.?			09.07.1901	09.07.1901	-	?	?	=	4							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15089	F	15089		Crustacea	Amphipoda		Atylidae	Atylus carinatus	(J.C.Fabricius)		Nunavut		Lok.?			30.08.1901	30.08.1901	-	8	8	=	1				Leire og Grus			Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		Med alger.																																																																
