JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F19499	F	19499		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Abelv�r		Apelv�r			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F24833	F	24833		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Hamb�ra		Hamb�ra, Trondh.fjorden		4. skrapetrekk	22.06.1961	22.06.1961	-	?	?	=	1	1m(sa)							Ethanol		Brun, E.	Meland, Kenneth, 2022		"Meland 2022:""Lengde:20mm""."																																																																
F24832	F	24832		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Hamb�ra		Hamb�ra, Trondheimsfj.			22.06.1961	22.06.1961	-	?	?	=	1	1f(sa)							Ethanol		Brun, E.	Meland, Kenneth, 2022		"Meland, 2022:"" lengde: 22mm""."																																																																
F19495	F	19495		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Lofoten		Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19497	F	19497		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Lofoten		Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F2218	F	2218		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Lofoten		Lofoten			?	?	-	752	752	>	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte																																																																		
F24834	F	24834		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Namsenfjorden		Namsenfjorden 64*35'N, 11*02'E			28.05.1981	28.05.1981	-	?	?	=	1	1m							Ethanol	Tr�l, reketr�l	Pethon, P.	Meland, Kenneth, 2022		"Meland 2022: ""Lengde: 26mm""."																																																																
F19498	F	19498		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		R�dberget		R�dbjerget			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19496	F	19496		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Trondheimsfjorden		Trondheimsfj.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte		94 st.																																																																
F2219	F	2219		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Vestfjorden		Vestfjorden	255		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	3							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte																																																																		
F2220	F	2220		Crustacea	Mysidacea		Mysidae	Boreomysis tridens	G.O.Sars		Vestfjorden		Vestfjorden	255		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	4							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte																																																																		
