JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F13078	F	13078		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Anonym		Lok.?			?	?	-	?	?	=	9								Ethanol		Anonym	Anonym																																																																		
F934	F	934		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Bontekoe�ya	�st for Bontekoe�ya	�st av Bontekoe�ya	562		08.08.1932	08.08.1932	-	168	168	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Fransen, C.H.J.M																																																																		
F935	F	935		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Dusenfjorden		Dusenfjorden	644		19.08.1932	19.08.1932	-	300	300	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Fransen, C.H.J.M																																																																		
F930	F	930		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Kapp Bennet	Syd for Kapp Bennet	Syd av K. Bennet	1131		20.08.1930	20.08.1930	-	290	290	=	1	1f						Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Fransen, C.H.J.M																																																																		
F931	F	931		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Kapp Stosch, Claveringfjorden	N�r Kapp Stosch	N�r K. Stosch Claveringfjord	31		11.08.1931	11.08.1931	-	338	400	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Fransen, C.H.J.M																																																																		
F2138	F	2138		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Lofoten	10-12 mil v.f. Vestlofoten	10-12 mil v.f. Vestlofoten	164, 251		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	7							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Fransen, C.H.J.M																																																																		
F22314	F	22314		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Norskehavet		62*43'N, 1*26'E	37		29.06.1902	29.06.1902	-	799	799	=	?							"""Michael Sars"""	Ethanol		"""Michael Sars"""	Fransen, C.H.J.M																																																																		
F2137	F	2137		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Norskehavet		66*41'N, 6*59'�	124		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Fransen, C.H.J.M																																																																		
F2136	F	2136		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Norskehavet & Gr�nlandshavet		St. 137, 312, 359	137, 312, 359		?	?	-	?	?	=	4							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Fransen, C.H.J.M																																																																		
F2139a	F	2139	a	Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Norskehavet & Gr�nlandshavet		St. 35, 192, 286, 362	35, 192, 286, 362		?	?	-	?	?	=	?							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Fransen, C.H.J.M		F2139 er delt i F2139a, og F2139b (B.leucopis) av Fransen i 1993.																																																																
F929	F	929		Crustacea	Natantia		Hippolytidae	Bythocaris payeri	(Heller)		Vegasund		Vegasund	1119		17.08.1930	17.08.1930	-	190	250	=	1	1f						Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Fransen, C.H.J.M																																																																		
