JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22494	F	22494		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Bygd�y		Ladegaards�en			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22302	F	22302		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Dr�bak		Dypet syd for Dr�bak		1	15.11.1952	15.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F23024	F	23024		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Elle lykt		Elle, Oslofj., 59*42.78N, 10*32.39E			10.07.1985	10.07.1985	-	203	203	=	?								Ethanol	Slede	Beyer, F.	Indrehus, Jane		Slede B602																																																																
F22300	F	22300		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Hvitsten		Ut for Hvitsten		1	23.01.1953	23.01.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22301	F	22301		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Jel�ya		Jel�ya		3	15.05.1953	15.05.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22495	F	22495		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Norden		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Anonym	Anonym																																																																		
F22497	F	22497		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Norge		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym																																																																		
F22498	F	22498		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Norge		Lok.?			?	?	-	?	?	=	?	?f							Ethanol		Anonym	Anonym																																																																		
F22499	F	22499		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Norge		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Anonym	Anonym																																																																		
F22496	F	22496		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Norge	S�r-Norge	Norv.merid.			?	?	-	?	?	=	?	?f							Ethanol		Anonym	Anonym																																																																		
F22493	F	22493		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Oslofjorden		Christianiafj.			?	?	-	?	?	=	?	?m(adult)							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22303	F	22303		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Skiphelle		Dypet utenfor Skiphelle, Dr�bak		2	12.11.1951	12.11.1951	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22304	F	22304		Crustacea	Cumacea		Nannastacidae	Campylaspis rubicunda	(Lilljeborg)		Sletter�yene		V.f Sletter�ene, Larkollen		8	13.07.1955	13.07.1955	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
