JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22305	F	22305		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Breiangen		Breiangen		5	30.01.1953	30.01.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22311	F	22311		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Dr�bak		Dypet syd f. Dr�bak		1	17.10.1954	17.10.1954	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22307	F	22307		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Dr�bak		Dypet syd for Dr�bak		1	15.11.1952	15.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F1627	F	1627		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Hus�y		Hus�			?	?	-	?	?	=	1	1m						Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F22514	F	22514		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Mosterhamn		Mosterhavn			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22509	F	22509		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Anonym	Anonym																																																																		
F22511	F	22511		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22512	F	22512		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?f							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22513	F	22513		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22306	F	22306		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Skiphelle		Dypet utenfor Skiphelle, Dr�bak		2	12.11.1951	12.11.1951	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22308	F	22308		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Stormeberget		V.f. Stormeberget, Dr�bak		1, 2	10.03.1952	10.03.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22309	F	22309		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Stormeberget		V.f. Stormeberget, Dr�bak			31.05.1952	31.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22310	F	22310		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Tofteholmen, Breiangen		Syd f. Tofteholmen, Breiangen		5	25.01.1952	25.01.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22510	F	22510		Crustacea	Cumacea		Nannastacidae	Campylaspis verrucosa	G.O.Sars		Trondheimsfjorden		Trondhjemsfj. etc.			?	?	-	?	?	=	?	?f							Ethanol		Anonym	Anonym																																																																		
