JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F24298	F	24298		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Bongnestraumen		Bougestr�m.,  Manger			?	?	-	38	56	=	?				Stein 				Ethanol		Anonym	Noever, Christoph		"20-30favner. F24298 Chirona hameri (Ascanius) og F24299 Verruca stroemia (O.F. M�ller) ligger i samme glass. Matr. er lagret p� Chirona hameri. P� orig. etikett: ""Balanus hameri  Lepas foliacea   S."""																																																																
F24156	F	24156		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Gjesv�r		Gjesv�r			###############################################################################################################################################################################################################################################################	01.01.1900	-	?	?	=	?								Ethanol		Ingeman	Noever, Christoph																																																																		
F24301	F	24301		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Gyren		Giyren, S�strene,  Korallrevet			23.07.1952	23.07.1952	-	?	?	=	?				Korallrev				Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F4256	F	4256		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Gyren	Gyren, S�strene	Gyren, S�strene, Oslofj.			29.04.1950	29.04.1950	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen	Noever, Christoph																																																																		
F4262	F	4262		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Gyren	Gyren, S�strene	Gyren, S�strene, Oslofj.			15.09.1953	15.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24296	F	24296		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Komagfjord		Komagfj.			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Noever, Christoph																																																																		
F24151	F	24151		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Kopervik		Kopervik			?	?	-	?	?	=	?								Ethanol	Tr�l	Valeur, dr.	Noever, Christoph																																																																		
F757	F	757		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Leksa, Trondhjemsfjorden		Leksen, Trondh.fj.			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Storm, V.	Noever, Christoph																																																																		
F24297	F	24297		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Lille H�ka		U. f. Lille H�ka, Ytre Oslofj.		6	16.09.1953	16.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24155	F	24155		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Noever, Christoph																																																																		
F24157	F	24157		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Risv�g	p� �ens �stl.side	Hammerfest. Havnen Riisvaag			?	?	-	?	?	=	?								Ethanol		Anonym	Noever, Christoph		"""Dyret m�rk fiolet"""																																																																
F24300	F	24300		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Risv�g		Havnen Riisvaag p� �ens �stl. side, Hammerfest			?	?	-	?	?	=	?								Ethanol		Sars, Michael	Noever, Christoph		"Lg.: S. ""meget dybt""."																																																																
F633	F	633		Crustacea	Cirripedia	Thoracica	Archaeobalanidae	Chirona hameri	(Ascanius)		Skagerrak	1.5 mil S.W. for F�rder	8 kv.mil S.W. for F�rder			10.05.1935	10.05.1935	-	188	188	=	?								Ethanol		Anonym	Noever, Christoph		100fv. Datoen er ca.10.5.1935.																																																																
