JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22544	F	22544		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Dr�bak		Dr�bak			?	?	-	?	?	=	?	?f(adult)							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22542	F	22542		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Glesv�r		Glesv�r, Bergen			?	?	-	?	?	=	?								Ethanol		Sars, Michael?	Zimmer, C.																																																																		
F22089	F	22089		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		H��ya		Nord f. H��ya, Dr�bak		3	01.11.1952	01.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22093	F	22093		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Jel�ya		Jel�ya		3	15.05.1953	15.05.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22543	F	22543		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Zimmer, C.																																																																		
F22570	F	22570		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Norden		Lok.?			?	?	-	?	?	=	?	?m(adult)							Ethanol		Sars, Georg Ossian?	Zimmer, C.		Pr�ven er utskilt fra F22571(D.cornuta) av Zimmer i 1930.																																																																
F420	F	420		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Skiphelle	SV for Skiphelle	Oslofjord S.W. for Skiphelle			25.08.1934	25.08.1934	-	100	100	=	?				Bl�tbunn				Ethanol		Broch, Hjalmar	Zimmer, C.																																																																		
F421	F	421		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Skiphelle		Oslofjord S.W. for Skiphelle			25.08.1934	25.08.1934	-	100	100	=	1				Bl�tbunn				Ethanol		Broch, Hjalmar	Zimmer, C.		I journal i rubrikken Finnested: II																																																																
F22091	F	22091		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Sletter�yene		Sletter�ene, Larkollen		7	23.03.1953	23.03.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22090	F	22090		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Storegrunnen		Storegrunnen, Dr�bak		2	18.10.1952	18.10.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22092	F	22092		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Storegrunnen		Storegrunnen, Dr�bak		2	18.10.1952	18.10.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22088	F	22088		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Tofteholmen, Breiangen		S.f.Tofteholmen, Breiangen		5	25.01.1952	25.01.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22568	F	22568		Crustacea	Cumacea		Diastylidae	Diastylis boecki	Zimmer		Trondheimsfjorden		Trondhjemsfj.			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian?	Zimmer, C.		Utskilt fra F22569 (D. cornuta) av Zimmer i 1930.																																																																
