JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F8	F	8		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Daudmanns�yra, Claveringfjorden	Utenfor Daudmann�yra	Daudmann�yra, Claveringfjorden	1047		28.07.1930	28.07.1930	-	34	34	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F12	F	12		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Dusenfjorden		Dusenfjorden	55		20.08.1931	20.08.1931	-	75	185	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F10	F	10		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Frans Josefs fjord	N�r mundingen av Frans Josephs fjord	Frans Josephs fjord	1068		03.08.1930	03.08.1930	-	35	35	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F6	F	6		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Herchelhus		Herchelhus	1016		19.07.1930	19.07.1930	-	43	53	=	5							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F1618	F	1618		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Jan Mayen		Jan Mayen			?	?	-	?	?	>	10								Ethanol		Anonym	Zimmer, C.		Iflg. journal har Zimmer rev. pr�ven. Hvem som bestemte pr�ven f�rste gang er ukjent. 																																																																
F7	F	7		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Kapp Stosch, Claveringfjorden	Ved stranden imot Kap Stosch	Kap Stosch, Claveringfjorden	1044		28.07.1930	28.07.1930	-	30	30	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F9	F	9		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Mackenziebukta		Mackenziebukta	1060		01.08.1930	01.08.1930	-	15	15	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F11	F	11		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Moskusoksefjorden	Ca. 30 km. fra mundingen av Moskusoksefjorden	Moskusoksefjorden	1070		04.08.1930	04.08.1930	-	25	25	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F1623	F	1623		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Norge	Mebotten, Storeggen	Mebotten, Storeggen			?	?	-	94	113	=	4								Ethanol		Sars, Georg Ossian	Zimmer, C.		Iflg. journal har Zimmer rev. pr�ven. Hvem som bestemte pr�ven f�rste gang er ukjent. 																																																																
F24684	F	24684		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Rice Strait		Rice str.			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F5	F	5		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Scott Keltie �yene, Vegasund	Vest av Scott Keltie - �yene	Scott Keltie-�yene, Vegasund	30		09.08.1929	09.08.1929	-	40	50	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Zimmer, C.																																																																		
F24683	F	24683		Crustacea	Cumacea		Diastylidae	Diastylis scorpioides	(Lepechin)		Stordalen		Stordalens Munding			26.07.1900	26.07.1900	-	?	?	=	?							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
