JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F19513	F	19513		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Brettesnes		Brettesnes Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19514	F	19514		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Brettesnes		Brettesnes Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19515	F	19515		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Brettesnes		Brettesnes Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F2222a	F	2222	a	Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Hammerfest		Hammerfest			?	?	-	?	?	>	10							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte		F2222 er delt i F2222a-c.																																																																
F19518	F	19518		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Langesund		Langesund			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19516	F	19516		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Lofoten		Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19517	F	19517		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Mosterhamn		Mosterhavn			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19512	F	19512		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F2223	F	2223		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Norskehavet & Barentshavet & Gr�nlandshavet		Lok.?			?	?	-	?	?	>	10	?ff, ?mm						Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte		"Pr�vens lokalitet er ukjent. Alle havomr�der som eksp. var i er f�rt opp under ""Lokalitet"", men det er uvisst om pr�ven inneholder matr. fra alle havomr�dene."																																																																
F19519	F	19519		Crustacea	Mysidacea		Mysidae	Erythrops erythrophthalma	(Go�s)		Utne		Utne			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
