JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F24835	F	24835		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Flatanger		64*29'N, 10*34'E			26.05.1981	26.05.1981	-	335	335	=	1	1f							Ethanol	Slede	Pethon, P.	Meland, Kenneth, 2022		"Meland, 2022: ""Lengde: 12mm"". Meland har notert p� sin liste (epost 20.4.2022) lokalitet ""Halm�ya, Flatanger, 64�29'N, 10�34'E"". Kkun koordinater er oppf�rt p� etikett ved pr�ven. Iflg Norgeskart stemmer ikke lokalitetsnavnet Halm�ya helt med koordinater "																																																																
F24836	F	24836		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Kiltaren, J�ssundfjord		Kiltaren, J�ssundfjord  64�25'30''N, 10�45'E			01.06.1981	01.06.1981	-	?	?	=	?	?f							Ethanol		Pethon, P.	Meland, Kenneth, 2022		Det ser ut til at stedsnavnet ikke stemmer helt overens med lokalitetsnavnet.																																																																
F19675	F	19675		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19679	F	19679		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19680	F	19680		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19673a	F	19673	a	Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Oslofjorden		Christianiafj.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte		F19673 er delt i F19673a-c.																																																																
F19674	F	19674		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Oslofjorden		Christianiafj.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19678	F	19678		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Oslofjorden		Christianiafj.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F24837	F	24837		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Senja		69�31'N, 16�58'5''E			01.09.1981	01.09.1981	-	162	162	=	?	?f, 5mm							Ethanol	Slede	Pethon, P.	Meland, Kenneth, 2022		"2022: P� etikett ser det ut som det st�r: 16�58,5''E.  Meland har notert p� sin liste (epost 20.4.2022) lokalitet ""�nderdalen, Senja, 69�31'N, 16*58'5''E"". Kun koordinater er oppf�rt p� etikett ved pr�ven. Iflg Norgeskart stemmer ikke lokalitetsnavnet  �n"																																																																
F19676	F	19676		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Vall�		Vall�			?	?	-	75	188	=	?	?m							Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19677	F	19677		Crustacea	Mysidacea		Mysidae	Erythrops serrata	(G.O.Sars)		Vall�		Vall�			?	?	-	75	188	=	?	?f							Ethanol		Anonym	Holmquist, Charlotte																																																																		
