JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F21574	F	21574		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Bohusl�n		Bohusl�n, Sverige	1777		?	?	-	?	?	=	1	1m							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F18209	F	18209		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Bol�rne & Larkollen		Bol�rne, Larkollen			?	?	-	?	?	=	1	1m							Ethanol		Anonym	Christiansen, Marit Ellen		Coll.: M.Sars. Dt.: M.E.Christiansen 1964. 																																																																
F18288	F	18288		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Grip, Norden		Grip. Brgn.			?	?	-	?	?	=	1								Ethanol		Rasch, H.	Christiansen, Marit Ellen																																																																		
F18286	F	18286		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Homborsund - Gr�nningen		Homborsund - Gr�ningen G�sen	39		19.07.1950	19.07.1950	-	30	50	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Christiansen, Marit Ellen		Dt.: M.E.Christiansen 1964.																																																																
F18299	F	18299		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Kl�verhausene		Kl�verhausene, Tisler			25.05.1970	25.05.1970	-	15	15	=	2	2ff							Ethanol		Wiik, �.	Christiansen, Marit Ellen		Dt.: M.E.Christiansen 1978.																																																																
F18287	F	18287		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Kristiansand & Farsund		Kristiansend & Farsund			?	?	-	?	?	=	1								Ethanol		Boeck, A.	Christiansen, Marit Ellen		Dt.: M.E.Christiansen 1964.																																																																
F18210	F	18210		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Ris�r		Ris�r			?	?	-	?	?	=	1	1f							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F18290	F	18290		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Sk�rekrakk		Skaarekrakk v/ Str�mtangen fyr. Ytre Oslofj.			20.09.1970	20.09.1970	-	25	25	=	1				Fjell med Alger(r�dalger) og Skjell (d�de)				Ethanol		Pethon, P.	Christiansen, Marit Ellen																																																																		
F18411	F	18411		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Smedjan		Smedjan, Gullmarfjorden, Sverige			22.07.1966	22.07.1966	-	?	?	=	3	2ff, 1m							Ethanol		Sneli, J.A.	Christiansen, Marit Ellen		Dt.: M.E.Christiansen 1978.																																																																
F18285	F	18285		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Solsvik & Flor�		Solsvig & Flor�			?	?	-	?	?	=	6								Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F18139	F	18139		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Store F�rder	�. for Store F�rder	�.f. Store F�rder, Tj�me			08.04.1971	08.04.1971	-	25	25	=	1				Skjellgrus, Leirholdig				Ethanol	Skrape, trekantskrape	Gunnarsen, T. & Michaelsen, J.	Christiansen, Marit Ellen																																																																		
F18289	F	18289		Crustacea	Brachyura		Majidae	Eurynome spinosa	Hailstone		Suslingane		Fulehuk - Sven�r, Suslingene	29		24.07.1953	24.07.1953	-	20	85	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Christiansen, Marit Ellen		Dt.: M.E.Christiansen 1964.																																																																
