JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F15252	F	15252		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Flor�		Flor�			?	?	-	?	?	=	2								Ethanol		Anonym	Anonym		"I anm.felt: ""M.Sars"""																																																																
F4613	F	4613		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Fulehuk - Svenner		Fuglehuk - Svenn�r	45		27.07.1953	27.07.1953	-	?	?	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Pethon, P.		Dt.: P.Pethon 1968.																																																																
F4544	F	4544		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Hallangstangen	Halangstangen, Dr�bak	Halangstangen, Dr�bak		3	22.10.1951	22.10.1951	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F4548	F	4548		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		H�ka		�.f. St. H�ka, Ytre Oslofjord		4	16.09.1953	16.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F4545	F	4545		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Jel�ya		Jel�ya		4, 5	17.04.1953	17.04.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F15534	F	15534		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Norden		lok.?			?	?	-	?	?	=	1								Ethanol		Anonym	Anonym																																																																		
F15253	F	15253		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Norge	Vest-Norge	Norv.occid			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F4547	F	4547		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Stormeberget	N.V. for Stormeberget	N.V. for Stormberget, Dr�bak		2	14.08.1952	14.08.1952	-	?	?	=	1								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F4546	F	4546		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Stormeberget	Stormberget, Dr�bak	Stormberget, Dr�bak		1	26.10.1952	26.10.1952	-	?	?	=	1								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F15251	F	15251		Crustacea	Isopoda		Gnathiidae	Gnathia dentata	(G.O.Sars)		Utne		Utne			?	?	-	38	56	=	3	3mm							Ethanol		Anonym	Sars, Georg Ossian																																																																		
