JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22410	F	22410		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Dr�bak		Dr�bak			?	?	-	?	?	=	?	?m(adult)							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22413	F	22413		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Finnmark		Finm.			?	?	-	?	?	=	?	?f							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22409	F	22409		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Hammerfest		Hammerfest			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym																																																																		
F22185	F	22185		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Jel�ya		Jel�ya		3	15.05.1953	15.05.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F23009	F	23009		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Jel�ya - Tofteholmen		Mellom Tofteholmen og Jel�ya 59*29.658, 10*35.420E			18.06.2002	18.06.2002	-	101	101	=	?								Ethanol	Grabb	Olsgard, Frode	Indrehus, Jane		Grabb AC2. Iflg. J.Indrehus: �kologiske effekter av reketr�ling. EU prosjektet, Cost Impact 2002..																																																																
F22407	F	22407		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Norden		Lok.?			?	?	-	?	?	=	?	?m(adult)							Ethanol		Anonym	Anonym																																																																		
F22411	F	22411		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Norden		Lok.?			?	?	-	?	?	=	?	?f							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22412	F	22412		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Norden		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22187	F	22187		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Sletter�yene		V.f. Sletter�ene, Larkollen		8	13.07.1955	13.07.1955	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22186	F	22186		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Tofteholmen, Breiangen		Syd f. Tofteholmen, Breiangen		5	25.01.1952	25.01.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22408	F	22408		Crustacea	Cumacea		Lampropidae	Hemilamprops roseus	(Norman)		Trondheimsfjorden		Trondhjemsfj.			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym																																																																		
