JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F14279	F	14279		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Korshavn		Korshavn			?	?	-	?	?	=	2								Ethanol		Anonym	Anonym																																																																		
F14271	F	14271		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Kristiansand		Christiansand			?	?	-	?	?	=	9								Ethanol		Anonym	Steele, D.H.		Fra F14271 har Steel i 1988 tatt ut Tryphosites longipes (F21118)																																																																
F13125	F	13125		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Manger		Manger			?	?	-	?	?	=	1								Ethanol		Sars, Michael?	Sars, Michael?		Lg og/eller dt: M.Sars																																																																
F13126	F	13126		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Manger		Manger			?	?	-	?	?	=	1								Ethanol		Sars, Michael?	Sars, Michael?		Lg/ og eller Dt: M.Sars.																																																																
F14798	F	14798		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Napoli		Neapel			?	?	-	?	?	=	1								Ethanol		Anonym	Anonym																																																																		
F13159	F	13159		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Norden		Lok.?			?	?	-	?	?	=	2								Ethanol		Anonym	Anonym		"P� krt.kort st�r.""B.""."																																																																
F13356	F	13356		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Norge	S�r-Norge	N.m.			?	?	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.																																																																
F13355	F	13355		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Norge	S�r-Norge og Vest-Norge	Norv. merid & occid.			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.																																																																
F21171	F	21171		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			Ris�r		Ris�r			?	?	-	?	?	=	?								Ethanol		Anonym	Lowry, J.K.		Pr�ven er utskilt fra F14246, Tryphosa nana av Lowry.																																																																
F13141	F	13141		Crustacea	Amphipoda		Lysianassidae	Hippomedon denticulatus			S�r-Varanger		S.Varanger			?	?	-	?	?	=	1								Ethanol		Esmark?	Steele, D.H.																																																																		
