JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F24066	F	24066		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Anonym		69*10'N, 130*37'E	892-80		31.05.1986	31.05.1986	-	800	800	=	?								Ethanol	Tr�l, flytetr�l	"""FF Johan Ruud"""	Christiansen, Marit Ellen		NB! F�r ikke lokaliteten til � stemme med at dette er i havet. M� sjekkes. Skal dato for fangst v�re 1980?  Hvis 1986, skal lokaliteten da v�re: 69.10N, 13.37E? Det kan stemme med rapport: Iflg rapport skulle skipet v�re ved Bleiks�y, Lofoten i april og j																																																																
F16604	F	16604		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norden		St.37	37		29.06.1902	29.06.1902	-	752	752	=	1								Ethanol		Sars, Michael	Holthuis, L.B. & Heerebout, G.R.		Dt.: Holthuis, L.B. & Heerebout, G.R. 1969-1974.																																																																
F2312	F	2312		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Nordishavet	80*01'-02'N, 134-135*�	80*1'-2'N, 134*-135*�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	300	300	=	1							Fram 1 ekspedisjonen	Ethanol		Fram 1 ekspedisjonen	Heerebout, G.R.																																																																		
F2173	F	2173		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		71*59'N, 11*40'�	295		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Heerebout, G.R.																																																																		
F2179	F	2179		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		72*36'N, 5*12'�	297		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	5							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Heerebout, G.R.																																																																		
F19135	F	19135		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 69*37' - LO 15*17'			17.04.1969	17.04.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19129	F	19129		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 69*49'- LO 15*44'			10.04.1969	10.04.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19134	F	19134		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 69*50' - LO 16*25'			24.03.1969	24.03.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19130	F	19130		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 69*53' - LO 11*14'			25.04.1971	25.04.1971	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19133	F	19133		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 70*22' - LO 15*02'			26.04.1969	26.04.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19132	F	19132		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 70*40' - LO 14*28'			13.04.1969	13.04.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F19131	F	19131		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		NB 71*25' - LO 12*10'			28.04.1969	28.04.1969	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen		Dt. M.E.Christiansen 1979.																																																																
F2177	F	2177		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		St. 34, 52, 53	34, 52, 53		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	7							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Heerebout, G.R.																																																																		
F2176	F	2176		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		St. 35, 54	35, 54		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	4	4 juv.						Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Heerebout, G.R.																																																																		
F2175	F	2175		Crustacea	Natantia		Oplophoridae	Hymenodora glacialis	(Buchholz)		Norskehavet		St. 40, 137, 183	40, 137, 183		?	?	-	?	?	=	3							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Heerebout, G.R.																																																																		
