JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22421	F	22421		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Finnmark		Finm.			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22427	F	22427		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Finnmark		Finm.			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		incop(?). Pr�ven inneholder ogs� L.fuscatus G.O.Sars.																																																																
F22425	F	22425		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Fredriksvern, Stavern		Fredriksv�rn			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22424	F	22424		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Hasvik		Hasvig			?	?	-	?	?	=	?	?f							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22423	F	22423		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Kvalben		Kvalben			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22418	F	22418		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?m(adult)							Ethanol		Anonym	Anonym																																																																		
F22420	F	22420		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?m							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22422	F	22422		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22426	F	22426		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Sirev�g		Sirev�g			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F22419	F	22419		Crustacea	Cumacea		Lampropidae	Lamprops fasciatus	G.O.Sars		Vads�		Vads�			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym																																																																		
