JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F849	F	849		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Claveringfjorden	N�r Kapp Stosch	Claveringfjord n�r K. Stosch	30		11.08.1931	11.08.1931	-	338	400	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F850	F	850		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Kapp Herschel, Claveringfjorden		K. Herschel	1010, 1011		17.07.1930	17.07.1930	-	6	8	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F853	F	853		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Kapp Mary		K. Mary, Clavering�y	26		08.08.1931	08.08.1931	-	30	30	=	1	1f						Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F848	F	848		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Landingsdalen		Landingsdalen	8		28.07.1929	28.07.1929	-	20	30	=	4							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F16267	F	16267		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Lands End	Bukt	Bukt ved Last End			12.07.1900	12.07.1900	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F851	F	851		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Loch Fyne		Loch Fyne	1038		26.07.1930	26.07.1930	-	3	14	=	5							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F852	F	852		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Myggbukta		Myggbukta	1060		01.08.1930	01.08.1930	-	10	10	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Heerebout, G.R.		"I journalen st�r det: ""Dr. L.B.Holthuis: The Decapoda of the Sibago Expedition 1947 s.9"""																																																																
F16266	F	16266		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Nunavut		Lok.?			30.07.1900	30.07.1900	-	?	?	=	8							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F16399	F	16399		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Renbukten		Renbukten, Ellesmere land			08.07.1901	08.07.1901	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F16270	F	16270		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Sj�p�lse Ness	Syd for Sj�p�lse Ness	bukten syd for Sj�p�lsenesset			07.03.1900	07.03.1900	-	27	37	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F16265	F	16265		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Skj�ret		Lok.?			22.06.1900	22.06.1900	-	9,4	9,4	=	1				Stein med kalkalger			Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F16268	F	16268		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Stordalen	Vestre side av Stordalens munning	Vestre side av Stordalens Munding			26.07.1900	26.07.1900	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F1977	F	1977		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Tasiilaq		Sarfagei, Angmagssalik (Tasittak)			15.02.1937	15.02.1937	-	?	?	=	1								Ethanol		H�yg�rd, Dr.	Holthuis, L.B. & Heerebout, G.R.																																																																		
F16398	F	16398		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Upernivik		Upernivik			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	7,5	24	=	5	5juv.						Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
F16269	F	16269		Crustacea	Natantia		Hippolytidae	Lebbeus groenlandicus	(Fabricius)		Vinterhavnen		Vinterhavnen c. 45 F			24.07.1900	24.07.1900	-	82	82	=	4							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Heerebout, G.R.																																																																		
