JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22170	F	22170		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Breiangen		Breiangen		5	30.01.1953	30.01.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22172	F	22172		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Digeruddypet		Digeruddypet, Dr�bak		4	01.11.1952	01.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22388	F	22388		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Dr�bak		Dr�bak			?	?	-	?	?	=	?	?m(adult)							Ethanol		Sars, Georg Ossian?	Sars, Georg Ossian		G.O.Sars coll.																																																																
F22171	F	22171		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Dr�bak		Dypet s.f. Dr�bak		2	15.11.1952	15.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F23025	F	23025		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Elle lykt		Elle, Oslofj., 59*42.78N, 10*32.39E			10.07.1985	10.07.1985	-	203	203	=	?								Ethanol	Slede	Beyer, F.	Indrehus, Jane		Slede B602.																																																																
F22177	F	22177		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Gr��yleira, Dr�bak		Gr��yleira, Dr�bak		1	01.11.1952	01.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22179	F	22179		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Gr��yleira, Dr�bak		Gr��yleira, Dr�bak		1, 2	14.01.1955	14.01.1955	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22180	F	22180		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		Gr��yleira, Dr�bak		Gr��yleira, Dr�bak		1, 2	14.01.1955	14.01.1955	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22173	F	22173		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		H��ya		N.f. H��ya, Dr�bak		3	01.11.1952	01.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22174	F	22174		Crustacea	Cumacea		Diastylidae	Leptostylis longimana	(G.O.Sars)		H��ya		N.f. H��ya, Dr�bak		3	01.11.1952	01.11.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
