JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F18868	F	18868		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19041	F	19041		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19042	F	19042		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19045	F	19045		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19046	F	19046		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19048	F	19048		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		5 tuber																																																																
F19044	F	19044		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Merd�		M�rd�?			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18869	F	18869		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		lok.?			?	?	-	?	?	=	1	1 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18870	F	18870		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		lok.?			?	?	-	?	?	=	4	4 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18871	F	18871		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			?	?	-	?	?	=	1	1 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18872	F	18872		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			?	?	-	?	?	=	2	2 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18873	F	18873		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			?	?	-	?	?	=	3	3 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18874	F	18874		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			?	?	-	?	?	=	2	2 juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19043	F	19043		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		utkl. av t�rret mudder etter 10 �r.																																																																
F19047	F	19047		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			Norden		Lok.?			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		fra aqv.																																																																
F19053	F	19053		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			R�nneby		Sverige, R�nneby i Blekinge			?	?	-	?	?	=	?								Ethanol		Lilljeborg	Sars, Georg Ossian																																																																		
F19054	F	19054		Crustacea	Branchiopoda	Conchostraca	Limnadiidae	Limnadia lenticularis			R�nneby		Sverige, R�nneby i Blekinge			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Lilljeborg	Sars, Georg Ossian																																																																		
