JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F4604	F	4604		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Brenntangen	Brenntangen, Filtvet	Brenntangen, Filtvet		3	19.09.1952	19.09.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Pethon, P.		Dt.: P.Pethon 1968.																																																																
F4491	F	4491		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Digerud		Digerud			10.07.1915	10.11.1915	-	9,4	9,4	=	?								Ethanol		Anonym	Pethon, P.		Fra tauverk med trerammer i. Dt: P.Pethon 1968.																																																																
F4603	F	4603		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Dr�bak		Dr�bak			?	?	-	?	?	=	1								Ethanol		Kj�r	Pethon, P.		Dt.: P.Pethon 1968.																																																																
F15267	F	15267		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Flor�		Flor�			?	?	-	?	?	=	7								Ethanol		Anonym	Sars, Georg Ossian		"I journal  st�r det ""Rev. G.O.Sars "". Opprinnelig bestemmer/ bestemmelse er ukjent. I anm.felt: ""M.Sars""."																																																																
F4602	F	4602		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Hvitsten		Hvitsten, Kristianiafjorden			10.06.1914	10.06.1914	-	?	?	=	3								Ethanol		"""Hvitfisken"""	Pethon, P.		Dt.: P.Pethon 1968.																																																																
F15268	F	15268		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Kristiansund		Christiansund			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"I journal  st�r det ""Rev. G.O.Sars "". Opprinnelig bestemmer/ bestemmelse er ukjent. I anm.felt: ""Rasch""."																																																																
F3598	F	3598		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Moss		Moss			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Sars, Georg Ossian																																																																		
F15535	F	15535		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Norden		lok.?			?	?	-	?	?	>	2								Ethanol		Anonym	Anonym																																																																		
F4488	F	4488		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Sandspollen		Sandspollen, Dr�bak		6	01.07.1952	01.07.1952	-	?	?	=	1								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F4489	F	4489		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Skiphellebukta		Skiphellebukta, Dr�bak		3	01.10.1954	01.10.1954	-	?	?	=	1								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Pethon, P.		Dt: P.Pethon 1968.																																																																
F4490	F	4490		Crustacea	Isopoda		Limnoriidae 	Limnoria lignorum	(Rathke)		Svenner - Jomfruland		Sven�r, Jomfruland	20		23.07.1953	23.07.1953	-	?	?	=	1							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Pethon, P.		Dt: P.Pethon 1968.																																																																
