JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F22014	F	22014		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Aker�y		S.V. for Aker�, Hvaler		3	18.09.1953	18.09.1953	-	?	?	=	5	1f(m/utrogn), 2ff, 2mm							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F21957b	F	21957	b	Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Bergen		Bergen			?	?	-	?	?	=	?								Ethanol		E.A.?	Christiansen, Marit Ellen		F21957 er delt i F21957a-b. Lg og/eller Dt:E.A.																																																																
F22596a	F	22596	a	Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Bergen		Bergen			?	?	-	?	?	=	?								Ethanol		E.A.?	Christiansen, Marit Ellen		Pr�ven inneholder etikett med 3 artsnavn: 1. Munida rugosa (j.C.Fabricius), 2. Munida tenuimana G.O.Sars og 3. Pontophilus norvegicus (M.Sars) (=Natantia. Det er ingen Natantia i pr�ven i 1993.). F22596 er delt i F22596a-b av M.E.Christiansen 2011.																																																																
F21981	F	21981		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Bev�ykollen		S.f.Bev�kollen, Jel�ya		2	09.01.1953	09.01.1953	-	?	?	=	2	2mm							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21980	F	21980		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Bev�ykollen		�.f.Bev�kollen, Jel�ya		3	09.01.1953	09.01.1953	-	?	?	=	1	1juv.							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22024	F	22024		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Bongnestraumen		Bougstr�mmen, Manger			?	?	-	75	94	=	?								Ethanol		Sars, Michael?	Christiansen, Marit Ellen		Lg og/eller Dt.: S. 4 pr�ver med Munida rugosa var knust og blandet v/ retur av utl�nt matr. (Gordon) 1993. Det var derfor umulig � skille pr�vene fra hverandre. De 4 pr�vene har f�tt samme F.nr.																																																																
F22015	F	22015		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Breiangen		Breiangen		2	30.01.1953	30.01.1953	-	?	?	=	1	1f(m/utrogn)							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21996	F	21996		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Digeruddypet		Digeruddypet, Dr�bak		1	13.11.1953	13.11.1953	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21952	F	21952		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Dr�bak		Dr�bak			01.08.1910	01.08.1910	-	?	?	=	?								Ethanol		E.A.?	Christiansen, Marit Ellen																																																																		
F22024	F	22024		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Dr�bak		Dr�bak			?	?	-	?	?	=	?								Ethanol		Anonym	Christiansen, Marit Ellen		4 pr�ver med Munida rugosa var knust og blandet v/ retur av utl�nt matr. (Gordon) 1993. Det var derfor umulig � skille pr�vene fra hverandre. De 4 pr�vene har f�tt samme F.nr. 																																																																
F21940	F	21940		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Dr�bak & Stavanger		Dr�bak & Stavanger			01.01.1910	31.12.1910	-	?	?	=	?								Ethanol		Arnesen, E.?	Christiansen, Marit Ellen																																																																		
F22013	F	22013		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Dr�bakbanken		Dr�baksbanken, Dr�bak		3	03.01.1953	03.01.1953	-	?	?	=	1	1f							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22033	F	22033		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Espev�r		Espev�r			?	?	-	?	?	=	1								Ethanol		Huitf. & Bid.?	Christiansen, Marit Ellen																																																																		
F22010	F	22010		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Filtvet		Filtvet		2	08.02.1952	08.02.1952	-	?	?	=	3	3mm							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21990	F	21990		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Gr��yleira, Dr�bak		Gr��yleira, Dr�bak		1	01.11.1952	01.11.1952	-	?	?	=	3	3juv.							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22017	F	22017		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Gyren		Gjyren, (S.S�ster)			29.04.1950	29.04.1950	-	100	125	=	3	2ff, 1m			Korallrev				Ethanol		Broch, Hj.	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22005	F	22005		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Gyren		Gjyren, S�strene			23.07.1952	23.07.1952	-	?	?	=	2	1f, 1?			Korallrev		With parasite		Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt		Individet uten kj�nnsbestemmelse er parasittert.																																																																
F22009	F	22009		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Gyren		Gjyren, S�strene			21.07.1952	21.07.1952	-	?	?	=	9	6ff, 2mm, 1juv.							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22000	F	22000		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Gyren		Gyren, S�strene		1	15.09.1953	15.09.1953	-	?	?	=	1	1f							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22025	F	22025		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Hardanger & Oslofjorden		Hardanger Kristianiafj.			?	?	-	?	?	=	2								Ethanol		Asbj.? & Esm.?	Christiansen, Marit Ellen		4 etiketter (2 originaletiketter og 2 etiketter m/ korr.) l� i samme tube v/ reg. av materiale 1993: 1. Hardanger, Lg.: og/eller Asbj. 2. Kristianiafj. Lg.: og/eller Dt.: Esm. 3. Munida rondeletii Bell (Galathea rugosa Fab), Christianiafj. 4. Forside: umu																																																																
F21998	F	21998		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		H��ya		H��ya, Dr�bak		1	26.11.1951	26.11.1951	-	?	?	=	3	1f, 1juv.							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21997	F	21997		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Jel�ya		Jel�ya		2	17.04.1953	17.04.1953	-	?	?	=	2	2mm							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22001	F	22001		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Jel�ya		Jel�ya		6	17.04.1953	17.04.1953	-	?	?	=	2	2mm							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F2119	F	2119		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kabelv�g - Skrova		Kabelv�g - Skr�ven, Morenebunn			05.07.1937	05.07.1937	-	?	?	=	1				Morene				Ethanol		Tambs-Lyche, H.	Huus, Johan																																																																		
F21946	F	21946		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kleven		Kleven			?	?	-	?	?	=	1								Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F22024	F	22024		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Komagfjord & �ksfjord		Komagfj. & �xfj.			?	?	-	?	?	=	?								Ethanol		Sars, Michael?	Christiansen, Marit Ellen		Lg og/eller Dt.: S. 4 pr�ver med Munida rugosa var knust og blandet v/ retur av utl�nt matr. (Gordon) 1993. Det var derfor umulig � skille pr�vene fra hverandre. De 4 pr�vene har f�tt samme F.nr. 																																																																
F21939	F	21939		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kopervik		Kopervik			?	?	-	?	?	=	?								Ethanol		Valeur	Christiansen, Marit Ellen																																																																		
F21950	F	21950		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kopervik		Kopervik			?	?	-	?	?	=	?								Ethanol		Valeur?	Christiansen, Marit Ellen																																																																		
F21941	F	21941		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kvits�y	Vest for Kvits�y	5/4 mil v.f. Hvitings�			?	?	-	188	188	=	?								Ethanol		Sars, Georg Ossian	Christiansen, Marit Ellen																																																																		
F21942	F	21942		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Kvits�y		5/4 mil v.f. Hvitings�			?	?	-	188	188	=	?								Ethanol		Sars, Georg Ossian?	Christiansen, Marit Ellen																																																																		
F22012	F	22012		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Lille H�ka		S.V.f. Lille H�ka, Ytre Oslofjord		6	17.09.1953	17.09.1953	-	?	?	=	2	1f, 1m							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22007	F	22007		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Lille H�ka		V.f.Lille H�ka, Ytre Oslofjord		6	16.09.1953	16.09.1953	-	?	?	=	3	2ff, 1m							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F21977	F	21977		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Mefjordb�en, Hvaler		Mefjordboen, Ytre Oslofjord		9	16.09.1953	16.09.1953	-	?	?	=	1	1m							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen																																																																		
F21989	F	21989		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Mefjordb�en, Hvaler		Mefjordboen, Ytre Oslofjord		10	16.09.1953	16.09.1953	-	?	?	=	1	1juv.							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F356	F	356		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Midtmeiet		Oslofj. Midtmeiet			13.04.1934	13.04.1934	-	?	?	=	3								Ethanol	Tr�l	Huus, Johan	Huus, Johan																																																																		
F21948	F	21948		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Mosterhamn		Mosterhavn			?	?	-	188	188	=	?								Ethanol		Sars, Georg Ossian	Christiansen, Marit Ellen																																																																		
F21938	F	21938		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Nevlunghavn		Nevlunghavn			07.04.1928	07.04.1928	-	100	100	=	?								Ethanol		L�yning	Christiansen, Marit Ellen																																																																		
F21943	F	21943		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	=	6								Ethanol		Sars, Georg Ossian?	Christiansen, Marit Ellen		G.O.Sars coll.																																																																
F22034	F	22034		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	=	?	?larv.							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F22035	F	22035		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	=	?	?larv.(1.stad.)							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F22036	F	22036		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	>	1	larv.							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F22037	F	22037		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	=	?	?larv.(siste stad.)							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F22038	F	22038		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norden		Lok.?			?	?	-	?	?	=	?	?larv.(pulli)							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F2185	F	2185		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norskehavet		65*36'N, 8*32'�	101		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F2184	F	2184		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Norskehavet & Barentshavet		St. 26, 79, 265	26, 79, 265		?	?	-	?	?	=	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F21991	F	21991		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Nygrunnen, Filtvet		Nygrunn, Filtvet		3	10.04.1953	10.04.1953	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F21999	F	21999		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Oslofjorden		Indre Oslofjord		2	27.10.1953	27.10.1953	-	?	?	=	1	1f							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F22004	F	22004		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Oslofjorden		Indre Oslofjord		1	28.10.1953	28.10.1953	-	?	?	=	41	19ff, 22mm							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
F21993	F	21993		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Rammeb�en		Rammeboen, Hvitsten		3	05.12.1952	05.12.1952	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22011	F	22011		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Skiphellebukta		Utenfor Skiphellebugta, Dr�bak		2	14.08.1952	14.08.1952	-	?	?	=	1	1m							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F2186	F	2186		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Sognefjorden		Sognefjorden			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1	1juv.						Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F22031	F	22031		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Stavanger		Stavanger			01.07.1922	31.07.1922	-	?	?	=	?								Ethanol		L�yning, P.	Christiansen, Marit Ellen																																																																		
F21954	F	21954		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Steilene		Steilene, Oslofj.			06.05.1930	06.05.1930	-	?	?	=	?								Ethanol		L�yning, P.	Christiansen, Marit Ellen																																																																		
F22008	F	22008		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Stormeberget		Nord for Stormeberget, Dr�bak		3	14.08.1952	14.08.1952	-	?	?	=	9	1f, 5mm, 3juv.							Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt																																																																		
F22018	F	22018		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Stormeberget	Nordvest f. Stormberget	Nordvest f. Stormberget, Dr�bak		3	06.03.1953	06.03.1953	-	?	?	=	2	1f, 1?					With parasite		Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hammerstad, Marit Ellen & Christiansen, Bengt		1hunn og 1parasittert.																																																																
F21986	F	21986		Crustacea	Anomura		Galatheidae	Munida sarsi	Huus		Stormeberget		Nordvest f. Stormeberget, Dr�bak		2	11.12.1953	11.12.1953	-	?	?	=	1	1m							Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Christiansen, Marit Ellen & Christiansen, Bengt																																																																		
