JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F21957a	F	21957	a	Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Bergen		Bergen			01.07.1916	31.07.1916	-	?	?	=	?								Ethanol		E.A.?	Christiansen, Marit Ellen		F21957 er delt i F21957a-b. Lg og/eller Dt:E.A.																																																																
F22596b	F	22596	b	Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Bergen		Bergen			?	?	-	?	?	=	?								Ethanol		E.A.?	Christiansen, Marit Ellen		Pr�ven inneholder etikett med 3 artsnavn: 1. Munida rugosa (j.C.Fabricius), 2. Munida tenuimana G.O.Sars og 3. Pontophilus norvegicus (M.Sars) (=Natantia. Det er ingen Natantia i pr�ven i 1993.). F22596 er delt i F22596a-b av M.E.Christiansen 2011.																																																																
F3868	F	3868		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Norden		Lok.?			07.04.1930	07.04.1930	-	?	?	=	?	?larv.							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F354	F	354		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Salhusfjorden		Salhusfjord			16.06.1934	16.06.1934	-	500	500	>	10								Ethanol	Tr�l	Huus, Johan	Christiansen, Marit Ellen																																																																		
F355	F	355		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Salhusfjorden		Salhusfjord			27.06.1934	27.06.1934	-	500	500	>	10								Ethanol	Tr�l	Huus, Johan	Christiansen, Marit Ellen																																																																		
F3866	F	3866		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Salhusfjorden		Salhusfjord			11.07.1930	11.07.1930	-	?	?	=	?	?larv.							Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F3867	F	3867		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Salhusfjorden		Salhusfjord			12.06.1930	12.06.1930	-	?	?	=	?	?larv.							Ethanol		Anonym	Anonym																																																																		
F2182	F	2182		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Sognefjorden		Sognefjorden			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	9							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F2183	F	2183		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Sognefjorden		Sognefjorden			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	3							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F17229	F	17229		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Storskj�r	� side	Storskj�r, � side, Dr�bak		8	01.08.1962	01.08.1962	-	30	40	=	1								Ethanol		Brun, Einar	Brun, Einar	Pr�ven mangler	"M.E.Christiansen 2011: Dyret er fullstendig oppl�st. Bare ubestemmelige rester. Pr�ven er kastet.  Lg. og Dt. er i journalen oppgitt til ""Brun"". Dato og sted for innsamlingen tilsier at dette m� v�re Brun, Einar."																																																																
F21955	F	21955		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Utne		Utne			?	?	-	564	752	>	20								Ethanol		Anonym	Christiansen, Marit Ellen																																																																		
F21956a	F	21956	a	Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Utne		Utne			?	?	-	564	752	=	3								Ethanol		Anonym	Christiansen, Marit Ellen		F21956 er delt i F21956a (M.tenuimana G.O.Sars) og F21956b (M.sarsi Huus) av M.E.Christiansen 2011. F21956a-b oppbevares i samme glass merket M.tenuimana G.O.Sars & M.sarsi Huus. Glasset inneholder ogs� tube med bein fra begge arter. Glasset er i magasine																																																																
F2180	F	2180		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Vestfjorden		Vestfjorden	255		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	40	40	=	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
F2181	F	2181		Crustacea	Anomura		Galatheidae	Munida tenuimana	G.O.Sars		Vestfjorden		Vestfjorden	255		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	40	40	=	4							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Christiansen, Marit Ellen																																																																		
