JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F19575	F	19575		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Hvaler		Hval�erne			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19576	F	19576		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Kval�y		Kval�			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19570	F	19570		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Lofoten		Lofoten			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19573	F	19573		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Nordland		Nordl			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19577	F	19577		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19578	F	19578		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19579	F	19579		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19580	F	19580		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Norge		Norv.			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19760	F	19760		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Novaja Zemlja		Nov. Zemlja			?	?	-	?	?	=	?								Ethanol		Anonym	Aagaard																																																																		
F2232	F	2232		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Saltenfjorden		Saltenfjord			?	?	-	?	?	=	9							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Holmquist, Charlotte																																																																		
F19568	F	19568		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Svelvik		Svelvig			?	?	-	38	56	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19569	F	19569		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Svelvik		Svelvig			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19574	F	19574		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Svelvik		Svelvik			?	?	-	38	56	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19571	F	19571		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Troms�		Troms�			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19572	F	19572		Crustacea	Mysidacea		Mysidae	Mysis mixta	Lilljeborg		Vads�		Vads�			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
