JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F19117	F	19117		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Bergen & Gr�t�ya		Gr�t�, Nordland Bergen, Hordaland			?	?	-	?	?	=	3								Ethanol		Anonym	Dahl, E.		1 dyr fra Gr�t�, 2 dyr fra Bergen. F19117 er delt i F19117 (N.bipes) og F20940 (N.borealis) av E.Dahl.																																																																
F19056	F	19056		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		B�rgin		Borgenfjorden, Norge			?	?	-	?	?	=	15								Ethanol		Anonym	Dahl, E.		Fra pr�ven er F20942, N.borealis skilt ut.																																																																
F19057	F	19057		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Gr�nland		Gr�nland			?	?	-	?	?	=	2								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19058	F	19058		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Gr�nland		Gr�nland			?	?	-	?	?	=	2								Ethanol		Anonym	Dahl, E.																																																																		
F19118	F	19118		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Hitra & Fr�ya		Hitteren S.Tr�ndelag			?	?	-	?	?	=	?								Ethanol		Anonym	Dahl, E.																																																																		
F19063	F	19063		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Kristiansund		Kristiansund, M�re & Romsdal, Norge			?	?	-	?	?	=	8								Ethanol		Anonym	Dahl, E.																																																																		
F19095	F	19095		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Lofoten		Lofoten, Nordland, Norge			?	?	-	?	?	=	40								Ethanol		Anonym	Dahl, E.		Pr�ven er delt i F19095 (N.bipes) og F20941(N.borealis) av E.Dahl.																																																																
F19119	F	19119		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Lofoten & Vads�		Vads�, Finnmark Lofoten, Nordland			?	?	-	?	?	=	5								Ethanol		Anonym	Dahl, E.		3 dyr fra Vads�, 2 dyr fra Lofoten.																																																																
F19059	F	19059		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Norden		Lok.?			?	?	-	?	?	>	2	?egg, ?embr.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19060	F	19060		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Norge		Norge			?	?	-	?	?	=	2								Ethanol		Schneider, Sp.	Schneider, Sp.																																																																		
F19071	F	19071		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Norge		Norge			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19072	F	19072		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Norge		Norge			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F1579	F	1579		Crustacea	Leptostraca		Nebaliidae 	Nebalia bipes	(O.Fabricius)		Saltstraumen		Saltstr�mmen			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Dahl, E.																																																																		
