JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F14382	F	14382		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Baffinbukta		Baffins B.			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	19	19	=	?								Ethanol		Brun, C.?	Sars, Georg Ossian																																																																		
F15024	F	15024		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Cape Sabine	Camp Clay	Cape Sabine, Camp Clay			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	3,8	9,4	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15026	F	15026		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Egedesminde		Egedes Minde			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	7							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F13320	F	13320		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Finnmark		Finmarken			?	?	-	?	?	=	9								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.																																																																
F14402	F	14402		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Gr�nland		Gr�nland			?	?	-	?	?	=	3								Ethanol		Anonym	Anonym		"P� krt.kort st�r det ""Kr."" ."																																																																
F14403	F	14403		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Gr�nland		Gr�nland			?	?	-	?	?	=	9								Ethanol		Sars, Michael?	Sars, Michael?		"P� krt.kort st�r ""S."" (=M.Sars?). Lg og/eller dt.: M.Sars."																																																																
F1028	F	1028		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Herchelhus		Herchelhus	1013		18.07.1930	18.07.1930	-	6	8	=	1	1m						Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1758	F	1758		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Jan Mayen		Jan Mayen			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	~	16							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1027	F	1027		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Landingsdalen		Landingsdalen	8		28.07.1929	28.07.1929	-	18,8	24,4	>	10							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F13194	F	13194		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norden		Lok.?			?	?	-	?	?	>	2								Ethanol		Anonym	Anonym		"P� krt.kort st�r ""B."""																																																																
F1762	F	1762		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norskehavet		73*47'N, 14*21'�	283		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	1405	1405	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1763	F	1763		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norskehavet		74*57'N, 19*52'�	322		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	38	38	=	14							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1759	F	1759		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norsk�yene		Norske �yer, Svalbard			?	?	-	?	?	=	10							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1760	F	1760		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norsk�yene		Norske �yer, Svalbard			?	?	-	?	?	=	17							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1761	F	1761		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Norsk�yene		St. 223 (24), 280	223, 280		?	?	-	?	?	=	7							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian		Inneholder ogs� muligens matr. fra st.224.																																																																
F15029	F	15029		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			North Devon	�st for den store breen.	East of the great glacier, North Devon			17.07.1902	17.07.1902	-	5,6	5,6	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15028	F	15028		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Nunavut		The Bay (pelagic)			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	5							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian		Pelagisk.																																																																
F15027	F	15027		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Nunavut		The haven			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	3							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F14381	F	14381		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Selhundsbukta		S�lhundsbugt			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	3								Ethanol		Aagaard?	Sars, Georg Ossian																																																																		
F15025	F	15025		Crustacea	Amphipoda		Lysianassidae	Onisimus edwardsi			Stordalen	Utsiden av munningen av Stordalen	Outside the mouth of Stordalen			01.08.1900	01.08.1900	-	18,9	18,9	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
