JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F18879	F	18879		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Hammerfest		Finnmark, Hammerfest			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		4 tuber																																																																
F18880	F	18880		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Hasv�g		Finnmark, Hasv�g			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F12968	F	12968		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Komagdalen	Dam, Komagdalen	Dam, Komagdal, Varangerhalv�ya			12.07.1969	12.07.1969	-	?	?	=	?								Ethanol		Klemetsen, A.	Klemetsen, A.																																																																		
F18877	F	18877		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Norden		lok.?			?	?	-	?	?	=	?	?juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18882	F	18882		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Norden		lok.?			?	?	-	?	?	=	1	1juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18883	F	18883		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Norden		Lok.?			?	?	-	?	?	=	2	2juv.							Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18881	F	18881		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Repv�g		Finnmark, Repv�g			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F19055	F	19055		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Store Tams�ya		Finnmark, Porsangerfjorden, Store Tams�			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F18884	F	18884		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		S�r-Varanger		Finnmark, S.-Varanger			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Sig.Thor	Anonym																																																																		
F18878	F	18878		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Vads�		Finnmark, Vads�			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		2 tuber																																																																
F18875	F	18875		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Vagge, Finnmark		Finnmark, Vagge			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		2 tuber																																																																
F18876	F	18876		Crustacea	Branchiopoda	Anostraca	Polyartemidae	Polyartemia forcipata	Fischer		Vard�		Finnmark, Vard�			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		2 tuber.																																																																
