JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F1780	F	1780		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Adventbukten		Advent bay, Svalbard			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F1781	F	1781		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Adventbukten		Advent bay, Svalbard			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	4							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F13124	F	13124		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Finnmark		Finnmark			?	?	-	?	?	=	4								Ethanol		Anonym	Sars, Georg Ossian		G.O.Sars coll.																																																																
F14594	F	14594		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Gr�nland		Gr�nland			?	?	-	?	?	=	3								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""Kr."", ""n.M."" og ""rev.: G.O.Sars""."																																																																
F15036	F	15036		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			G�sefjord	�vre del av Gaasefjord.	Upper part of Gaase Fjord			02.08.1901	02.08.1901	-	?	?	=	3							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F1096	F	1096		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Kapp Humboldt, Ymer�ya		Kap Humboldt	21		05.08.1929	05.08.1929	-	30	36	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1098	F	1098		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Kapp Stosch, Claveringfjorden		Kap Stosch	1024		24.07.1930	24.07.1930	-	12	12	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F13281	F	13281		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Karm�y		Karm�			?	?	-	?	?	=	1								Ethanol		Boeck?	Boeck?		Lg og/eller dt: Boeck.																																																																
F1095	F	1095		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Mackenziebukta		Mackenziebukta	16		02.08.1930	02.08.1930	-	30	63	=	5							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1097	F	1097		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Mackenziebukta		Mackenziebukta	1063		02.08.1930	02.08.1930	-	40	40	=	7							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F1099	F	1099		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Mackenziebukta		Mackenziebukta	1060		01.08.1930	01.08.1930	-	15	15	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Schellenberg, A.																																																																		
F13192	F	13192		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Norden		Lok.?			?	?	-	?	?	=	5								Ethanol		Anonym	Anonym		"P� krt.kort st�r ""B."""																																																																
F15034	F	15034		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Rice Strait	Bukt ved Rice Strait	Bay at Rice Strait			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F15035	F	15035		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Rice Strait	Havn i Rice Strait	Haven in Rice Strait			?	?	-	?	?	=	2							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F14595	F	14595		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Selhundsbukta		S�lhundbugten, Novaja Zemlja			?	?	-	?	?	=	1								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""Aag."", ""n.M."" og ""rev.: G.O.Sars""."																																																																
F14828	F	14828		Crustacea	Amphipoda		Haustoriidae	Pontoporeia femorata			Simrishamn	S�r for Simrishamn	S. om Cimrishamn			?	?	-	?	?	=	7								Ethanol		Anonym	Anonym																																																																		
