JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F24854	F	24854		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Aker�y		Aker�ya, Hvaler, �stfold			04.10.1968	04.10.1968	-	?	?	=	2								Ethanol		Sneli, J.A.	Meland, Kenneth, 2022		2022: P� en av etikettene st�r det 9.10-68, p� en annen 4.10.1968.																																																																
F19628	F	19628		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Beian		Beian			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F24855	F	24855		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Djupalen		Djupalen, Asker, Akershus Skj�r mellom Rauskj�r og Lang�ra	2		31.07.1968	31.07.1968	-	?	?	=	41								Ethanol		Sneli, J.A.	Meland, Kenneth, 2022		Laminariasone																																																																
F24856	F	24856		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Drasund		Dragsundet, L�v�ya, Borre, Vestfold			29.08.1968	29.08.1968	-	?	?	=	3								Ethanol		Sneli, J.A.	Meland, Kenneth, 2022																																																																		
F19627	F	19627		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Farsund		Farsund			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19621	F	19621		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Foldenfjorden		Foldenfjord			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F19629	F	19629		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Gjesv�r		Gj�sv�r			?	?	-	?	?	=	?								Ethanol		Anonym	Holmquist, Charlotte																																																																		
F24858	F	24858		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Grindvik		Grindvik, Ons�y, �stfold			13.09.1968	13.09.1968	-	?	?	=	9	9m							Ethanol		Sneli, J.A.	Meland, Kenneth, 2022		"Meland, 2022: ""Lengde: 14mm""."																																																																
F24859	F	24859		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Grindvika		Grindviken, Y. Vikna			14.06.1968	14.06.1968	-	?	?	=	1	1f							Ethanol		Pethon, P.	Meland, Kenneth, 2022		"Meland, 2022: ""Lengde: 15mm""."																																																																
F3558	F	3558		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		Hilles�y		Hilles�			05.07.1904	05.07.1904	-	?	?	=	?								Ethanol		Bj.	Holmquist, Charlotte																																																																		
F24860	F	24860		Crustacea	Mysidacea		Mysidae	Praunus inermis	(Rathke)		H�nsetangen		H�nstetangen, N�tter�y, Vestfold			24.10.1968	24.10.1968	-	?	?	=	8								Ethanol		Sneli, J.A.	Meland, Kenneth, 2022																																																																		
