JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F13933	F	13933		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Finnmark		Finmark			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""G.O.Sars"" og  i journalen: ""Rev.: G.O.Sars""."																																																																
F14629	F	14629		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Gr�nland		Gr�nland			?	?	-	?	?	=	7								Ethanol		Anonym	Kr�yer																																																																		
F15107	F	15107		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			G�sefjord	�vre del av Gaasefjord.	Upper part of Gaase Fjord			02.08.1901	02.08.1901	-	?	?	=	1							Fram 2 ekspedisjonen	Ethanol		Fram 2 ekspedisjonen	Sars, Georg Ossian																																																																		
F14640	F	14640		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Holsteinborg havn		Holsteinsborg Havn, Gr�nland			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	3								Ethanol		Lundbech?	Lundbech?		Lg. og/eller dt. Lundbech.																																																																
F509	F	509		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			M�kkalassene, Gr��yleira	N. for M�kkalassene, Gr��yleira	Oslofj. N. for M�kkalassene (Gr��yleira)			24.07.1934	24.07.1934	-	90	90	=	1								Ethanol		Broch, Hjalmar	Schellenberg, A.																																																																		
F13935	F	13935		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Norden		Lok.?			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og  i journalen: ""Rev.: G.O.Sars""."																																																																
F13936	F	13936		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Norge		Lok.?			?	?	-	?	?	=	9								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F13937	F	13937		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Norge		Lok.?			?	?	-	?	?	>	2								Ethanol		Anonym	Sars, Georg Ossian																																																																		
F1913	F	1913		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Norsk�yene		Norske �yer, Svalbard			?	?	-	?	?	=	1	1f						Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Sars, Georg Ossian																																																																		
F13934	F	13934		Crustacea	Amphipoda		Photidae	Protomedeia fasciata			Oslofjorden		Christianiafjorden			?	?	-	?	?	=	4								Ethanol		Anonym	Sars, Georg Ossian		"P� krt.kort st�r det ""B."" og  i journalen: ""Rev.: G.O.Sars""."																																																																
