JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F17027	F	17027		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Evje, Manger		Evje, Manger			?	?	-	?	?	=	2								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.		Coll.: S.																																																																
F17029	F	17029		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Foldenfjorden		Foldenfj.			?	?	-	?	?	=	1								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.																																																																		
F17031	F	17031		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Koppervik		Koppervik			?	?	-	?	?	=	1								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.		Coll.: Valeur.																																																																
F17025	F	17025		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Kristiansand		Kr.sand S			?	?	-	?	?	=	2								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.		Dt.: Holthuis, L.B. & Heerebout, G.R. 1967.																																																																
F17026	F	17026		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Kristiansund		Kr.sund N.S.			?	?	-	?	?	=	3								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.		"P� krt.kort st�r: ""rev. G.O.Sars""."																																																																
F17024	F	17024		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Lofoten		J�deren			?	?	-	?	?	=	6	6juv.							Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.																																																																		
F17028	F	17028		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Lofoten		Lofoten			?	?	-	?	?	=	8								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.																																																																		
F2122	F	2122		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Molld�ra, Lofoten		Mold�ren, Lofoten			07.07.1937	07.07.1937	-	60	60	=	1				Leire				Ethanol		Tambs-Lyche, H.	Heerebout, G.R.																																																																		
F17030	F	17030		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Mosterhamn		Mosterhavn			?	?	-	?	?	=	3								Ethanol		Anonym	Holthuis, L.B. & Heerebout, G.R.																																																																		
F2126	F	2126		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Skrova-Litlmolla		Mellem Skr�ven og lille Molla			06.07.1937	06.07.1937	-	60	60	=	1				Grus				Ethanol		Tambs-Lyche, H.	Heerebout, G.R.																																																																		
F19158	F	19158		Crustacea	Natantia		Crangonidae	Sabinea sarsii	Smith		Vistenfjorden		Vistenfjorden 65*43'42'N 12*33'E			13.06.1979	13.06.1979	-	30	180	=	1				Hard bunn				Ethanol	Skrape, trekantskrape	Pethon, P.	Pethon, P.																																																																		
