JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
F24174	F	24174		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Aker�y	S.V. for Aker�, Hvaler	Aker�, Hvaler		3	18.09.1953	18.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24177	F	24177		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Aspond	S.f. Aspond	Aspond Kristianiafjorden			27.07.1910	30.07.1910	-	75	132	=	?								Ethanol		"""Hvitfisken"""	Noever, Christoph		70-40fv.																																																																
F24181	F	24181		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Beian		Beian			?	?	-	?	?	=	?								Ethanol		Anonym	Noever, Christoph																																																																		
F24187	F	24187		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Brettingsnes		Brettingsnes, S�r-Tr�ndelag			10.09.1967	10.09.1967	-	50	350	=	?				Korallrev				Ethanol		Sneli, J.A.	Noever, Christoph																																																																		
F4765	F	4765		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Espev�r		Espev�r			?	?	-	113	188	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph		"60-100F. P� krt.kort st�r det ""Rev. Hj. Broch 1923"" . Opprinnelig bestemmer/ bestemmelse er ukjent."																																																																
F24176	F	24176		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Furuholmen	Korallfeldt	Furuhl. 			25.04.1914	25.04.1914	-	?	?	=	?				Korallrev				Ethanol		Anonym	Noever, Christoph																																																																		
F24172	F	24172		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Gyren		Gjyren, S�strene			21.07.1952	21.07.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24173	F	24173		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Gyren		Gjyren, S�strene			23.07.1952	23.07.1952	-	?	?	=	?				Korallrev	Eudendrium rameum			Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24188	F	24188		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Hamb�ra		Hamb�ra, Trondh.fjorden			20.06.1961	20.06.1961	-	300	300	=	?								Ethanol		Brun, E.	Noever, Christoph																																																																		
F24175	F	24175		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Lille H�ka	V.f. Lille H�ka, Ytre Oslofjord	Lille H�ka, Ytre Oslofjord		6	16.09.1953	16.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	Noever, Christoph																																																																		
F24186	F	24186		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Lyngholmen		Lyngholmen			?	?	-	188	244	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph		100-130F																																																																
F24184	F	24184		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Norden		Lok.?			?	?	-	?	?	=	?	?juv.							Ethanol		Anonym	Noever, Christoph																																																																		
F1671	F	1671		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Norskehavet		St.190, 69*41'N, 15*51'�	190		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Noever, Christoph																																																																		
F1670	F	1670		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Norskehavet		St.79, 64*48'N, 6*32'�	79		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Noever, Christoph																																																																		
F1673	F	1673		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Porsangerfjorden		Porsangerfj.	260		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Noever, Christoph																																																																		
F24182	F	24182		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Porsangerfjorden		Porsangerfjorden			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph		Iflg. Broch er det 2 ulike arter i pr�ven Scalpellum stroemii (F24182) og Verruca stroemia (F24183). Noever bestemte alt materiale til � v�re Ornatoscalpellum stroemii i 2017. 24182 og F24183 ligger i samme glass.																																																																
F24183	F	24183		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Porsangerfjorden		Porsangerfjorden			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph		Iflg. Broch er det 2 ulike arter i pr�ven Scalpellum stroemii (F24182) og Verruca stroemia (F24183). Noever bestemte alt materiale til � v�re Ornatoscalpellum stroemii i 2017. F24182 og F24183 ligger i samme glass.																																																																
F24178	F	24178		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Rutletangen - Solsvika		Mellom Rutletangen og Solsvik (Litt vest for Leirvik i Sogn)			21.10.1949	21.10.1949	-	400	500	=	?								Ethanol		Anonym	Noever, Christoph																																																																		
F24180	F	24180		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		R�dberget		R�dbjerget			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph																																																																		
F1674	F	1674		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Tanafjorden		Tanafjord	261		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	2							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Noever, Christoph																																																																		
F24185	F	24185		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Tjernagel		Tjernagel			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Noever, Christoph																																																																		
F24189	F	24189		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Tronstadgrunnen		Tronstadgrunden, Dr�bak		5	23.08.1962	23.08.1962	-	19	35	=	?								Ethanol		Brun, E.	Noever, Christoph		(35-19-32m)																																																																
F1672	F	1672		Crustacea	Cirripedia	Thoracica	Scalpellidae	Ornatoscalpellum stroemii	M.Sars		Vestfjorden		Vestfjord	255		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	5							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Noever, Christoph																																																																		
