JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B35	B	35		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		An der Spitze von Marjan 			12.07.1931	12.07.1931	-	0,5	0,5	=	?				Sargassum sp.				Ethanol		Broch, Hj.	Broch, Hj.																																																																		
B33	B	33		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		Pricken- Bank bei Poljud			07.11.1931	07.11.1931	-	4	6	=	?				Steinbunn med Cystoseira sp. og Saragassum sp.				Ethanol		Broch, Hj.	Broch, Hj.		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira."																																																																
B30	B	30		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		S�d�stliche Bank SSW v. Stobrec 			11.11.1931	11.11.1931	-	13	17	=	?				Stein, Vidalia sp., og Posidonia sp..				Ethanol		Broch, Hj.	Broch, Hj.																																																																		
B98	B	98		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		S�d�stliche Bank SSW von Stobrec 			11.11.1931	11.11.1931	-	?	?	=	?								Ethanol		Broch, Hj.	Gil, Marta		Marta Gil 2021: Det er to arter i pr�ven, Filellum serpens og Antennella secundaria.																																																																
B28	B	28		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		Vor Kasun			22.11.1931	22.11.1931	-	15	15	=	?				Cystoseira sp.				Ethanol		Broch, Hj.	Broch, Hj.		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira."																																																																
B32	B	32		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		Vor Prizidnice (Ciovo)			03.12.1931	03.12.1931	-	40	50	=	?				Stein med Cystoseira sp.				Ethanol		Broch, Hj.	Broch, Hj.		"I journal: ""Cystocira (parengal)"". ""Cystocira"" antas � skulle v�re Cystoseira."																																																																
B31	B	31		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria	(Gmelin)		Split		W. der Insel Stipanska (bei Maslinica)			07.06.1931	07.06.1931	-	35	40	=	?								Ethanol		Broch, Hj.	Broch, Hj.		"Journal: ""Gemischter Boden""."																																																																
B36	B	36		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria pinnata			Split		Bei Prizidnice (Ciovo)			07.11.1931	07.11.1931	-	10	10	=	?				Stein, sm� 				Ethanol		Broch, Hj.	Broch, Hj.		Inneholder ogs� A. secundaria typica.																																																																
B36	B	36		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria typica			Split		Bei Prizidnice (Ciovo)			07.11.1931	07.11.1931	-	10	10	=	?				Stein, sm� 				Ethanol		Broch, Hj.	Broch, Hj.		Inneholder ogs� A.secundaria pinnata.																																																																
B29	B	29		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria typica			Split		Dujmovaca (bei Pension Split)			25.08.1930	25.08.1930	-	?	?	=	?				Sargassum sp.				Ethanol		Soljan, T., dr.	Broch, Hj.																																																																		
B34	B	34		Cnidaria	Hydrozoa	Hydroida	Halopterididae 	Antennella secundaria typica			Split		Westspitze von Marjan			12.07.1931	12.07.1931	-	0,5	0,5	=	?				Sargassum sp.				Ethanol		Broch, Hj.	Broch, Hj.																																																																		
