JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
H285	H	285		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Dr�bak		Dr�bak			?	?	-	?	?	=	1								Ethanol		S	Bj.																																																																		
H82	H	82		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Eids�, Syvdefjorden		Eids�, Syvdefjord			?	?	-	80	80	=	?								Ethanol		Bj�rlykke, O.	Huus, J.																																																																		
H1250	H	1250		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Maine, gulf of Maine		Gulf of Maine, N.Amerika			?	?	-	94	329	=	2								Ethanol		U.S.F.C.	Bjerkan		50-175f. 2021: Antar at U.S.F.C. betyr United States Fish Commission																																																																
H107	H	107		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Skrova		Utenfor Skr�ven, Lofoten			04.07.1937	04.07.1937	-	300	300	=	1								Ethanol		Tambs-Lyche, H.	Huus, J.																																																																		
H14	H	14		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Tj�me		Tj�me			21.07.1908	21.07.1908	-	38	38	=	?								Ethanol		Arnesen, E.	Huus, J.		20fv																																																																
H5	H	5		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Tj�me		Tj�me			22.07.1908	22.07.1908	-	55	55	=	?								Ethanol		Arnesen, E.	Huus, J.		29fv.																																																																
H251	H	251		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Troms�		Troms�			?	?	-	?	?	=	?								Ethanol		Ki�r, H.	Bjerkan																																																																		
H286	H	286		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Troms�ysundet		Troms�sund			01.01.1907	31.12.1907	-	94	94	=	2								Ethanol		Kj�r, H.	Bjerkan		50f.																																																																
H316	H	316		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Vegasund		Vegasund	1116		15.08.1930	15.08.1930	-	250	250	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H424	H	424		Chordata	Tunicata	Ascidiacea	Ascidiidae	Ascidia obliqua	Alder		Vegasund		Vegasund	1119		17.08.1930	17.08.1930	-	190	250	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
