JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B1523	B	1523		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Bod�		Bod�			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.108  i    Dt.: Burton 1930.																																																																
B1520	B	1520		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Dr�bak		Dr�bak			?	?	-	?	?	=	?								Ethanol		Arnesen, Emily	Burton		Dt.: Burton 1930.																																																																
B1525	B	1525		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Kopervik		Kopervik			01.01.1915	31.12.1915	-	?	?	=	?								Ethanol		Valeur	Burton		Dt.: Burton 1930. B1525 Axinella arctica og B1637 Phakiella rugosa l� opprinnelig i samme glass men ble delt ved registrering i 2016. Originaletikett i B1637. Gammel etikett p�klistret glasset er fjernet og overf�rt arkiv (etikettbok).																																																																
B1519	B	1519		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.102   ii    Gammel etikett p�klistret glasset er fjernet og overf�rt arkiv (etikettbok).																																																																
B1522	B	1522		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.102  IV  Dt. Burton 1930.   Gammel etikett p�klistret glasset er fjernet og overf�rt arkiv (etikettbok).																																																																
B1518	B	1518		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Nygrunnen		Nygrunden			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		Dt.: Burton 1930. Gammel etikett p�klistret glasset er fjernet og overf�rt arkiv (etikettbok).																																																																
B1521	B	1521		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Rauer		Ran�, Oslofj.			24.06.1911	24.06.1911	-	150	150	=	?								Ethanol		"""Hvitfisken"""	Burton		ca. 80f.   Dt.: Burton 1930																																																																
B1526	B	1526		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Skjerjehamn		Skjergehavn (?)			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.118    VII   Opplysninger er fra gammelt krt.kort.																																																																
B1527	B	1527		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Skjerjehamn		Skjergehavn (?)			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.118   II. Opplysning fra gammelt krt.kort.																																																																
B1528	B	1528		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Skjerjehamn		Skjergehavn (?)			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.118   V.  Opplysning fra gammelt krt.kort.																																																																
B1529	B	1529		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Skjerjehamn		Skjergehavn (?)			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.118   VIII. Opplysninger iflg. gammelt krt.kort.																																																																
B1530	B	1530		Porifera	Demospongiae		Axinellidae	Axinella arctica	(Vosmaer)		Stormeberget		Storemedbjerget			12.07.1910	12.07.1910	-	?	?	=	?								Ethanol		"""Hvitfisken"""	Burton																																																																		
