JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B706	B	706		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Espev�r		Espev�r			?	?	-	?	?	=	?								Ethanol		Anonym	B.																																																																		
B1363	B	1363		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Norden		Lok.?			?	?	-	?	?	=	?								Ethanol		Anonym	Sars, Georg Ossian		"Da lokaliteten er ukjent er det uvisst om pr�ven skal st� p� ""Nordisk"" eller ""Utenlandsk"" materiale i magasinet."																																																																
B131	B	131		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Bei Prizidnice (Ciovo)			07.11.1931	07.11.1931	-	10	10	=	?	?f			Stein, sm� 				Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B134	B	134		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Dujmovaca  (Bucht der Pension Split)			31.01.1932	31.01.1932	-	?	?	=	?				Sargassum sp.				Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B137	B	137		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Kasun			05.01.1932	05.01.1932	-	4	4	=	?				Cystoseira sp.				Ethanol		Broch, Hj.	Broch, Hjalmar		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira."																																																																
B205	B	205		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Kasun			05.08.1931	05.08.1931	-	4	4	=	?				Cystoseira sp.				Ethanol		Broch, Hj.	Broch, Hjalmar		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira."																																																																
B99	B	99		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Kasun			05.01.1932	05.01.1932	-	?	?	=	?								Ethanol		Broch, Hj.	Gil, Marta		Iflg. Marta Gil 2021 er det to arter i pr�ven, Filellum serpens og Campanularia hincksii.																																																																
B138	B	138		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Ostspitze von Ciovo			22.11.1932	22.11.1932	-	5	10	=	?				Steinbunn med Cladocora sp., Cystoseira sp. og noe Posidonia sp.				Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B135	B	135		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Poljud			17.01.1931	17.01.1931	-	?	?	=	?								Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B130	B	130		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Vor Kasun			22.11.1931	22.11.1931	-	15	15	=	?				Cystoseira sp.				Ethanol		Broch, Hj.	Broch, Hjalmar		"I journal: ""Cystosira"", som antas � skulle v�re Cystoseira."																																																																
B213	B	213		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Vor Prizidnice (Ciovo)			03.12.1931	03.12.1931	-	40	50	=	?	?f			Cystoseira sp., p� stein				Ethanol		Broch, Hj.	Gil, Marta		"I journalen: ""An Cystosira (auf steinen) (Parengal)"". ""Cystosira"" antas � skulle v�re Cystoseira. B213 Campanularia hincksii og B214 Filellum serpens ligger i samme tube.  Iflg. Gil 2021 er det ogs� Lafoea sp. i pr�ven"																																																																
B132	B	132		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Zwischen Kasun u. Dujmovaca  (Pension Split)			05.01.1932	05.01.1932	-	0	1	=	?				Stein 				Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B133	B	133		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Split		Zwischen Kasun u. Dujmovaca  (Pension Split)			05.10.1931	05.10.1931	-	0	1	=	?				Stein 				Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B136	B	136		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Sveti Juraj		Sv. Juraj			17.01.1931	17.01.1931	-	1	1	=	?								Ethanol		Broch, Hj.	Broch, Hjalmar																																																																		
B1933	B	1933		Cnidaria	Hydrozoa	Hydroida	Campanulariidae	Campanularia hincksii	Alder		Vard�		Vard�			?	?	-	?	?	=	?								Ethanol		Anonym	Gil, Marta		Iflg. Gil 2021 inneholde pr�ven Sertularia argentea, Campanularia hincksii og Lafoea sp.																																																																
