JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
H412	H	412		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Alpefjorden		Alpefjorden	1081		08.08.1930	08.08.1930	-	70	70	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		Bestemmelsen er usikker.																																																																
H423	H	423		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Alpefjorden		Alpefjorden	1081		08.08.1930	08.08.1930	-	70	70	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H384	H	384		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Bontekoe�ya		Bontekoe�ya	562		08.08.1932	08.08.1932	-	168	168	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H410	H	410		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Bontekoe�ya		Bontekoe�ya	17		03.08.1931	03.08.1931	-	18	18	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H376	H	376		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Dusenfjorden		Dusenfjoden	55		20.08.1931	20.08.1931	-	75	185	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H308	H	308		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Kapp Herschel, Claveringfjorden		Kapp Herschel	1016		19.07.1930	19.07.1930	-	6	8	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		Bestemmelsen er usikker.																																																																
H408	H	408		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Kapp Herschel, Claveringfjorden		Kapp Herschel	1018		19.07.1930	19.07.1930	-	35	83	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H411	H	411		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Kong Oscars fjord		K. Oscarsfjord	20		04.08.1931	04.08.1931	-	60	250	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		Bestemmelsen er usikker.																																																																
H306	H	306		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Kong Oscars fjord		K.Oscars fj. 	1101		12.08.1930	12.08.1930	-	55	100	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		Bestemmelsen er usikker.																																																																
H381	H	381		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Nathorstfjorden		Nathorstfjorden	548		04.08.1932	04.08.1932	-	137	137	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H409	H	409		Chordata	Tunicata	Ascidiacea	Styelidae	Dendrodoa pulchella	(Verrill)		Nathorstfjorden		Nathorstfjorden	548		04.08.1932	04.08.1932	-	137	137	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
