JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
H89	H	89		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Davisstredet		Vest Gr�nland ca 62*N			01.01.1934	31.12.1934	-	120	120	=	?								Ethanol		Anonym	Huus, J.		Pr�ven er st�ket over p� kartotekkortet, men ikke i journalen.																																																																
H373	H	373		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Kapp Herschel, Claveringfjorden		K.Herschel	1018		19.07.1930	19.07.1930	-	35	83	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H324	H	324		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Kapp Herschel, Claveringfjorden		Kapp Herschel	1016		19.07.1930	19.07.1930	-	43	53	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H364	H	364		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Kapp Herschel, Claveringfjorden		Kapp Herschel	1016		19.07.1930	19.07.1930	-	43	53	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H387	H	387		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Kapp Herschel, Claveringfjorden		Kapp Herschel	1016		19.07.1930	19.07.1930	-	43	53	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H388	H	388		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Kapp Herschel, Claveringfjorden		Kapp Herschel	1016		19.07.1930	19.07.1930	-	43	53	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		Bestemmelsen er usikker.																																																																
H377	H	377		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Landingsdalen		Landingsdalen	8		01.01.1929	31.12.1929	-	19	28	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus		10-13 favner. Finnested (inkl. stasjonsnummer) og �rstall er usikre.																																																																
H361	H	361		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Loch Fyne		Loch Fyne	1038		26.07.1930	26.07.1930	-	3	14	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H365	H	365		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Loch Fyne		Loch Fyne	1038		26.07.1930	26.07.1930	-	3	14	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Huus																																																																		
H294	H	294		Chordata	Tunicata	Ascidiacea	Molgulidae	Molgula retortiformis	Verrill		Norden		Nordhavsexped.?			?	?	-	?	?	=	?							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Bjerkan		"""Nordh.exped.? Tvilsomt findested"""																																																																
