JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B320	B	320		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Alpefjorden		Pr. 1081, Alpfjorden	1081		08.08.1930	08.08.1930	-	70	70	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B313	B	313		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Bontekoe�ya		Pr. 18, vest av Bontekoe-�ya	18		03.08.1931	03.08.1931	-	275	275	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B1622	B	1622		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Dr�bak		Dr�bak			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		"0.4   Burton 1930. P� gammelt krt.kort st�r: ""Dr�baksund"", p� etikett i glass st�r ""Dr�bak""."																																																																
B1621	B	1621		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Dr�bak		Dr�bak?			?	?	-	?	?	=	?								Ethanol		Anonym	Burton		0.103 iii    Dt.: Burton 1930.																																																																
B315	B	315		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Dusenfjorden		Pr. 55, Dusenfjorden	55		20.08.1931	20.08.1931	-	75	185	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B319	B	319		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Frans Josefs fjord		Pr. 615, Frans Josefs Fjord	615		13.08.1932	13.08.1932	-	170	170	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B1624	B	1624		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Geitaneset		Getnes  Tr.fj.			05.08.1901	05.08.1901	-	?	?	=	?								Ethanol		Swenander	Burton		Dybde 75-180.     0. I   Dt.: Burton 1930.																																																																
B1435	B	1435		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Hvaler		Pr. Hvaler			01.06.1908	31.08.1908	-	?	?	=	?								Ethanol		Anonym	Rapp, Hans Tore		Koralltr�kket. Pr�ven inneholdt iflg. Rapp ulike arter. Materialet ble derfor delt ved registrering i 2016 : B1435 (Mycale lingua), B1483 (Tentorium semisuberites) og B1484 (Tethya norvegica).  Originaletikett i B1435. Rapps etiketter ligger i en konvolut																																																																
B321	B	321		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Kapp Bennet		Pr. 1131, syd av Kap Bennet	1131		20.08.1930	20.08.1930	-	290	290	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B314	B	314		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Kong Oscars fjord		Pr. 20, K.Oscars Fjord	20		04.08.1931	04.08.1931	-	60	250	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B318	B	318		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Kong Oscars fjord		Pr. 549, KOscars Fjord	549		04.08.1932	04.08.1932	-	432	432	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
B317	B	317		Porifera	Demospongiae		Mycalidae	Mycale lingua	(Bowerbank)		Kong Oscars fjord		Pr. 550, KOscars Fjord	550		05.08.1932	05.08.1932	-	327	327	=	?							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Burton																																																																		
