JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
B1490	B	1490		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Aspond		Grunden �.f. Aspond. Kristianiafjorden			22.03.1911	22.03.1911	-	14	30	=	?								Ethanol		"""Hvitfisken"""	Rapp, Hans Tore		Pr�ven inneholdt iflg. Rapp ulike arter. Materialet ble derfor delt ved registrering i 2016 : B1421 (Geodia barretti), B1437 (Tethya norvegica) og B1490 (Phakellia robusta). Originaletikett i B1421. Rapps etiketter ligger i en konvolutt i skap p� avdeling																																																																
B1445	B	1445		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Bunnefjorden		Bundefjorden			01.09.1908	30.09.1908	-	75	75	=	?								Ethanol		Anonym	Rapp, Hans Tore		C 40 favne. Pr�ven inneholdt iflg. Rapp ulike arter. Materialet ble derfor delt ved registrering i 2016 : B1445 (Phakiella robusta.) og B1481 (Suberites sp.). Originaletikett i B1445. Rapps etiketter ligger i en konvolutt i skap p� avdelingens teknikerkon																																																																
B1441	B	1441		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Digerud		Digerud, Dr�bak		2	13.02.1953	13.02.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
B1439	B	1439		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Josenfjord		Josenfjord (?)			28.05.1949	28.05.1949	-	75	75	=	?								Ethanol		Vigeland	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
B1443	B	1443		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Karls�yv�r		Karls�yv�r, Kj�rring�y, Bod� komm.			12.08.1978	12.08.1978	-	250	300	=	?								Ethanol	Garn	Lid, Gunnar	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
B1444	B	1444		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Lindesnes - Lista		Lindesnes - Lista	33		12.07.1951	12.07.1951	-	?	?	=	?								Ethanol		"""G.M.Dannevig"""	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
B1440	B	1440		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Skiphelle		Skiphelle, Dr�bak		3	29.12.1951	29.12.1951	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
B1438	B	1438		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Solbergelva		Solbergelva			02.07.1914	02.07.1914	-	113	150	=	?								Ethanol		Anonym	Rapp, Hans Tore		(Antar at det er ment i havet utfor Solbergelva) Dt.: Rapp, Hans Tore, 2008.																																																																
B1446	B	1446		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Stangholmen - M�kkalasset		Stangholmen - M�kkalasset	78		01.08.1953	01.08.1953	-	?	?	=	?								Ethanol		"""G.M.Dannevig"""	Rapp, Hans Tore		Pr�ven inneholdt iflg. Rapp ulike arter. Materialet ble derfor delt ved registrering i 2016 : B1446 (Phakiella robusta.) og B1475 (Phakiella ventilabrum). Originaletikett i B1475. Rapps etiketter ligger i en konvolutt i skap p� avdelingens teknikerkontor.																																																																
B1447	B	1447		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		Stormeberget		Stormeberget, Dr�bak			18.06.1950	18.06.1950	-	?	?	=	?								Ethanol		Anonym	Rapp, Hans Tore		Pr�ven inneholdt iflg. Rapp ulike arter. Materialet ble derfor delt ved registrering i 2016 : B1447 (Phakellia robusta), B1482 (Tentorium semisuberites) og B1486 (Tethya norvegica).  Originaletikett i B1447. Rapps etiketter ligger i en konvolutt i skap p�																																																																
B1442	B	1442		Porifera	Demospongiae		Axinellidae	Phakellia robusta	Bowerbank		S�ndre Brevik		S�ndre Brevik, Mossesundet			25.05.1979	25.05.1979	-	80	80	=	?								Ethanol	Garn, trollgarn	Lid, G.	Rapp, Hans Tore		Dt.: Rapp, Hans Tore, 2008.																																																																
