JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
E240	E	240		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Antarctic Havn, Kong Oscars fjord		Antarctic Hamn	1087		10.08.1930	10.08.1930	-	100	100	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E395	E	395		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Bontekoe�ya		Bontekoe�ya	562		08.08.1932	08.08.1932	-	168	168	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E242	E	242		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Claveringfjorden		Claveringfj.	34		12.08.1931	12.08.1931	-	115	115	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E249	E	249		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Claveringfjorden		Claveringfj.	29		09.08.1931	09.08.1931	-	370	410	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E250	E	250		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Claveringfjorden		Claveringfj.	31		11.08.1931	11.08.1931	-	?	?	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E244	E	244		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Forsbladsfjorden		Forsbladfjord	1092		12.08.1930	12.08.1930	-	300	300	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E251	E	251		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Gr�nlandshavet		74*56'N-12*50'V	9		23.07.1931	23.07.1931	-	200	200	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E245	E	245		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Hold with Hope		S.for Hold with Hope	37		14.08.1931	14.08.1931	-	260	310	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E248	E	248		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Jackson�ya		Mel. Jackson�ya og K.Mary	36		13.08.1931	13.08.1931	-	230	250	=	4							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E247	E	247		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Kapp Franklin, Frans Josefs fjord		Fr.J.Fjord, v. av K.Fr.lin	615		12.08.1932	12.08.1932	-	170	170	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E241	E	241		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Kapp Franklin, Frans Josefs fjord		Mel Bontekoe�ya o. K.Fr.	18		03.08.1931	03.08.1931	-	270	270	~	7							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E243	E	243		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Sofiasundet		Sofiasundet	1124		18.08.1930	18.08.1930	-	200	200	=	16							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E239	E	239		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Vegasund		Vegasund	1116		15.08.1930	15.08.1930	-	250	250	=	15							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
E246	E	246		Echinodermata	Crinoidea		Antedonidae	Poliometra prolixa	(Sladen)		Vegasund		Vegasund	1119		17.08.1930	17.08.1930	-	190	250	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Clark, A.M.																																																																		
