JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
E286	E	286		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Claveringfjorden		Claveringfj. v. K.Stosch	31		11.08.1931	11.08.1931	-	?	?	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E312	E	312		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Dusenfjorden		Dusenfjord	55		20.08.1931	20.08.1931	-	75	185	=	8							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E314	E	314		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Frans Josefs fjord		Fr.JosefsFj. 	615		12.08.1932	12.08.1932	-	170	170	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E311	E	311		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Holmbukta, Kong Oscars fjord		Holmbukta, K.Osc.Fj.	527		31.07.1932	31.07.1932	-	100	100	=	3							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E313	E	313		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Kapp Petersen, Frans Josefs Fjord		Fr.JosefsFj. v.K.Petersen	47		17.08.1931	17.08.1931	-	400	462	=	2							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E287	E	287		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Nathorstfjorden		Nathorstfj.	548		04.08.1932	04.08.1932	-	137	137	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E173	E	173		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Norskehavet		syd for Bj�rn�ya	286		###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	817	817	=	1							Norske Nordhavs ekspedisjonen	Ethanol		Norske Nordhavs ekspedisjonen	Madsen, F.J.																																																																		
E315	E	315		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Tyrolerfjorden		Tyrolerfj. 	623		15.08.1932	15.08.1932	-	122	128	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.		"""N�r bunnen""."																																																																
E316	E	316		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Tyrolerfjorden		Tyrolerfj. n�r Youngsund	627		15.08.1932	15.08.1932	-	320	320	=	1							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
E285	E	285		Echinodermata	Asteroidea		Poraniidae	Poraniomorpha tumida	(Stuxberg)		Vegasund		Vegasund	1119		17.08.1930	17.08.1930	-	190	250	=	19							Hoels Gr�nland ekspedisjon	Ethanol		Hoels Gr�nland ekspedisjon	Madsen, F.J.																																																																		
