JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
E1425	E	1425		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Beian		Beian			?	?	-	?	?	=	?								Ethanol		Boeck	Arnesen, E.																																																																		
E1426	E	1426		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Bergen		Bergen			?	?	-	?	?	=	?								Ethanol		Koren	Arnesen, E.																																																																		
E1427	E	1427		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Bergen		Bergen			?	?	-	?	?	=	?								Ethanol		Bonnevie	Arnesen, E.																																																																		
E598	E	598		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Bergen		Bergen			?	?	-	?	?	=	2								Ethanol		E.A.	Anonym		"Samler: ""E.A."""																																																																
E1423	E	1423		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Bergen		Bergens skj�rg�rd			?	?	-	?	?	=	?								Ethanol		Anonym	Anonym																																																																		
E1428	E	1428		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		B�mlahuk		B�mmelhuk			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	113	150	=	?								Ethanol		H-Kaas	Arnesen, E.		60- 80f.																																																																
E1422	E	1422		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Flor�		Flor�en			?	?	-	?	?	=	?								Ethanol		Sars, Georg Ossian	Arnesen, E.																																																																		
E1421	E	1421		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Graven & �iefjord		Graven & �iefjord			?	?	-	94	282	=	?								Ethanol		Asbj�rnsen	Arnesen, E.		50-150f.																																																																
E1424	E	1424		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Hardanger		Hardanger			?	?	-	?	?	=	?								Ethanol		Rasch & Asbj�rnsen	Arnesen, E.																																																																		
E1420	E	1420		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Manger		Manger			?	?	-	94	94	=	?								Ethanol		Sars, M.	Arnesen, E.		50f.																																																																
E594	E	594		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		R�dberget		R�dbjerget			?	?	-	?	?	=	1								Ethanol		Sars, Georg Ossian	A.																																																																		
E1429	E	1429		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Skjerjehamn		Skj�rgehavn, Sogn			###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	-	?	?	=	?								Ethanol		Arnesen	Arnesen																																																																		
E1251	E	1251		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Store Karls�y		S. for Store Karls�y			29.08.1962	29.08.1962	-	?	?	=	?								Ethanol		Nielsen, C.	Hansen, B., 1980-1988																																																																		
E1250	E	1250		Echinodermata	Holothurioidea		Psolidae	Psolus squamatus	(O.F.M�ller)		Troms� & Nordm�re		Troms�, Nordm�re			?	?	-	?	?	=	?								Ethanol		E.A.	Hansen, B., 1980-1988																																																																		
