JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
E1336	E	1336		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Askholmene		Askholmen, Kristianiafjorden			11.07.1910	11.07.1910	-	18,8	56	=	?								Ethanol		"""Hvitfisken"""	Hansen, B., 1980-1988		30-10fv																																																																
E1323	E	1323		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Bev�ykollen		Bev�kollen, Jel�ya		4	09.01.1953	09.01.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hansen, B.																																																																		
E1338	E	1338		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Bj�rnen		Bj�rnen (Ran�) Kristianiafjorden			21.07.1910	21.07.1910	-	75	75	=	?								Ethanol		"""Hvitfisken"""	Hansen, B., 1980-1988		40f.																																																																
E1339	E	1339		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Bol�rne		"""Hvitfiskgrunden"" nord for Bol�rne, Kristianiafjorden"			13.01.1910	13.01.1910	-	85	85	=	?								Ethanol		"""Hvitfisken"""	Hansen, B., 1980-1988		45 favne.																																																																
E1321	E	1321		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Dr�bak		Dr�bak			01.01.1919	31.12.1919	-	?	?	=	?								Ethanol		E.A.	Hansen, B., 1980-1988																																																																		
E1335	E	1335		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Dr�bak		Dr�bak, Kristianiafjorden			01.07.1911	31.07.1911	-	75	75	=	?								Ethanol		"""Hvitfisken"""	Hansen, B., 1980-1988		ca. 40f.																																																																
E1334	E	1334		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Fulehuk - Svenner		Fulehuk- Sven�r	32		24.07.1953	24.07.1953	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Hansen, B., 1980-1988																																																																		
E1332	E	1332		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Gr�nningen - Ryvingen		Gr�ningen- Ryvingen	75		27.07.1951	27.07.1951	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Hansen, B., 1980-1988																																																																		
E1320	E	1320		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Homborsund - Gr�nningen		Homborsund- Gr�ningen	22		14.07.1950	14.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Hansen, B., 1980-1988																																																																		
E1329	E	1329		Echinodermata	Holothurioidea		Cucumariidae	Thyone gadeana	R.Perrier		Homborsund - Gr�nningen		Homborsund- Gr�ningen	22		14.07.1950	14.07.1950	-	?	?	=	?							"""G.M.Dannevig"""	Ethanol		"""G.M.Dannevig"""	Hansen, B., 1980-1988																																																																		
