JournalNr NHMO	Journal_Init	Journal_Nummer	Journal_Bokstav	Dyregr.1	Dyregr.2	Dyregr.3	Familie	scientificName	Autor	Typebetegnelse	country	Lokalitet, detaljer	OrigLokalitet	StasjonsNr	SkrapNr	eventDate	dato_Max	HOH	Dybde_Min	Dybde_Max	AntallsAngivelse	Antall	Kj�nn	Preparat	PrepMetode	Substrat	Vert	Parasitt	Ekspedisjon	Medium	Fangstredskap	recordedBy	Det	Tilstand	Merknad																																																																
E1200	E	1200		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Askholmene		Askholmene, Dr�bak		5	31.05.1952	31.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	Hansen, B.																																																																		
E1452	E	1452		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Bev�ykollen		Bev�kollen, Jel�ya		1	24.05.1952	24.05.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E917	E	917		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Dr�bak		Dr�bak			?	?	-	113	113	=	2								Ethanol		Sars, Michael	McKenzie, D.		60f. Det er bare en originaletikett (Rev.: D.McKenzie) for E915, E917, E1446-E1452 og den ligger i E915.    2020: E917 er i journalen registrert som Thyonidium pellucidum, dt.M.Sars, Rev.: T.hyalinum av McKenzie. P� gammel etikett ved pr�ven:  Phyllophoru																																																																
E1447	E	1447		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Dr�bak		Utfor Dr�bak		1, 2 	04.02.1955	04.02.1955	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E1450	E	1450		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Filtvet fyr		Filtvet fyr		7	19.09.1952	19.09.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E1446	E	1446		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		H�ka		�.f. St. H�ka, Ytre Oslofjord		4	16.09.1953	16.09.1953	-	?	?	=	?								Ethanol		Christiansen, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E915	E	915		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Manger		Manger			?	?	-	?	?	=	1								Ethanol		Sars, Michael	McKenzie, D.		Det er bare en originaletikett (Rev.: D.McKenzie) for E915, E917, E1446-E1452 og den ligger i E915.   2020: E915 er i journalen registrert som Thyonidium pellucidum, dt.M.Sars, Rev.: T.hyalinum av McKenzie. P� gammel etikett ved pr�ven:  Phyllophorus pell																																																																
E1449	E	1449		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Rauer, Fredrikstad		Vest f. Rau�		3	09.06.1953	09.06.1953	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E1448	E	1448		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Stormeberget		N.f. Stormeberget, Dr�bak		3	14.08.1952	14.08.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E1451	E	1451		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		Storskj�r		Syd for Storskj�r, Dr�bak		4	02.08.1952	02.08.1952	-	?	?	=	?								Ethanol		Hammerstad, Marit Ellen & Christiansen, Bengt	McKenzie, D.																																																																		
E921	E	921		Echinodermata	Holothurioidea		Phyllophoridae	Thyonidium hyalinum	(Forbes)		S�ndfjord		S�ndfjord			?	?	-	?	?	=	1								Ethanol		Rasch	Hansen, B.		2020: E921 er i journalen registrert som Duasmodactyla commune, dt.Rasch, Rev.: Thyonidium hyalinum av B.Hansen. P� gammel etikett ved pr�ven:  Phyllophorus drummondi, Dt.: Rasch,  rev. A.  Jeg antar at vedkommende som har f�rt inn i journal har endret P.																																																																
