dcterms:modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	sex	lifeStage	preparations	individualCount	otherCatalogNumbers	occurrenceRemarks	samplingProtocol	identificationQualifier	habitat	associatedTaxa	georeferenceRemarks	verbatimCoordinates	verbatimSRS	associatedMedia	CreativeCommonsLicense	ArtObsID	occurrenceID	UTMsone	UTMX	UTMY	datasetName	createdDate	bioGeoRegion	recordedById	identifiedById
23.04.2005	O	V	Preserved specimen	25494	Sorbus aucuparia	L.	Plantae	Magnoliophyta	Eudicots	Rosales	Rosaceae	Sorbus			Einar Jensen	1920-06				Einar Jensen	1920-06		Norway	Oslo fylke	Oslo	Sarabråten, Østmarken	10.55	59.893	1118													GS	32V PM 05,40-41	WGS84	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13270097&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		D417B18A-E74B-11E4-8D7A-00155D012A60	33	269862	6646651		23.09.1991 00:00	Oslo og Akershus		
23.04.2005	O	V	Preserved specimen	25496	Tanacetum vulgare ssp. vulgare	L.	Plantae	Magnoliophyta	Eudicots	Asterales	Asteraceae	Tanacetum			Einar Jensen	1934-08				Einar Jensen	1934-08		Norway	Oslo fylke	Stord	Blindern	10.81	59.9402	1414													GS	32V NM 95-96,45-46	WGS84	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13781861&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		E70A02EC-E74C-11E4-B112-00155D012A60	33	260849	6652494		23.09.1991 00:00	Oslo og Akershus		
20.10.1991	O	V	Preserved specimen	26396	Hylotelephium ewersii	(Ledeb.) H.Ohba	Plantae	Magnoliophyta	Eudicots	Saxifragales	Crassulaceae	Sedum			Bjarne Mathiesen	06.07.1986				Bjarne Mathiesen	06.07.1986		Norway	Viken	Øvre Eiker	Flesaker	9.847	59.7143	71													OR	32V NM 476,200	ED50	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13542500&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		91329858-E74B-11E4-8CA3-00155D012A60	33	210279	6631008		20-oct-1991 00:00:00	Buskerud		
20.10.1991	O	V	Preserved specimen	26398	Melampyrum cristatum	L.	Plantae	Magnoliophyta	Eudicots	Lamiales	Orobanchaceae	Melampyrum			Bjarne Mathiesen	22.07.1984				Bjarne Mathiesen	22.07.1984		Norway	Viken	Øvre Eiker	Nordbyhaug	09.37	59.7429	71													OR	32V NM 485,232	ED50	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13680939&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		9224E90E-E74C-11E4-B831-00155D012A60	33	211465	6634116		20-oct-1991 00:00:00	Buskerud		
20.10.1991	O	V	Preserved specimen	26401	Cryptogramma crispa	(L.) R.Br. ex Hook.	Plantae	Pteridophyta	Polypodiopsida	Polypodiales	Pteridaceae	Cryptogramma			Bjarne Mathiesen	08.07.1985				Bjarne Mathiesen	08.07.1985		Norway	Viken	Øvre Eiker	Nordenden av Svartskurdåsen	09.18	59.7805	71													OR	32V NM 416,273	ED50	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13177547&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		1E88D2D2-E74A-11E4-9F53-00155D012A60	33	204958	6638828		20-oct-1991 00:00:00	Buskerud		
20.10.1991	O	V	Preserved specimen	26402	Poa glauca	Vahl	Plantae	Magnoliophyta	Monocots	Poales	Poaceae	Poa			Even W. Hanssen	05.08.1986				Even W. Hanssen	05.08.1986		Norway	Viken	Øvre Eiker	Myrehogget	09.55	59.8352	71													OR	32V NM 423,334	ED50	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13897531&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		ADBB0FC6-E74D-11E4-B2EF-00155D012A60	33	206208	6644846		20-oct-1991 00:00:00	Buskerud		
04.01.1991	O	V	Preserved specimen	11108	Draba pauciflora	R.Br.	Plantae	Magnoliophyta	Eudicots	Brassicales	Brassicaceae	Draba			Reidar Elven	2010-12		26930b		Reidar Elven	18.08.1986		Norway	Svalbard	Sabine Land	Sassen: S-slope of Fjordnibba, irrigated calcareous soil	17.0203	78.3592	707	250 m												OR	33X WG 45,99	ED50	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13205851&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		F6FC0D56-E749-11E4-AC75-00155D012A60	33	545500	8699500		04.01.1991 00:00		https://www.wikidata.org/wiki/Q21338542	https://www.wikidata.org/wiki/Q21338542
25.11.2003	O	V	Preserved specimen	19000	Phegopteris connectilis	(Michx.) Watt	Plantae	Pteridophyta	Polypodiopsida	Polypodiales	Thelypteridaceae	Thelypteris			Helge Irgens Høeg	1964-07				Helge Irgens Høeg	1964-07		Norway	Troms og Finnmark	Bardu	Bones	18.2435	68.6424	2828													GS	34W CB 86-89,15-18	WGS84	http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13179814&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		5CBB8B62-E74A-11E4-83A6-00155D012A60	33	631775	7617965		04-may-1991 00:00:00	Troms		
10.04.1992	O	V	Preserved specimen	32603	Trisetum spicatum	(L.) K.Richt.	Plantae	Magnoliophyta	Monocots	Poales	Poaceae	Trisetum			Finn Wischmann	22.07.1958				Finn Wischmann	22.07.1958		Norway	Viken	Hol	ml. Storhovda og Glaskarnut	07.05	60.672	1414													OR	32V MN 34-35,26-27	ED50				B4D34B34-E74D-11E4-8878-00155D012A60	33	107663	6747914		10.04.1992 00:00	Buskerud	https://www.wikidata.org/wiki/Q5450690	https://www.wikidata.org/wiki/Q5450690
04.05.2015	O	V	Preserved specimen	2319334	Cinnamomum camphora F. Nees										Dewan Mohinder Nath Nair	01.01.1958		147		Dewan Mohinder Nath Nair	01.01.1958		Myanmar			Taunggyi.											Remarks: A planted tree. Leaves alternate chartaceous, long-petioled, ovate or oblong, attenuate-acute, 3-nerve. Medicinal properties: Every part is credited with sedative anodyne, antispasmodic, diaphoretic & anthelmintic properties. Used in colds, chills.								http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13087508&type=jpeg	http://creativecommons.org/licenses/by-sa/4.0/		c424bed0-b448-49a4-8bb5-ab82ed20f4c3				Burma	08.06.2011 00:00		https://www.wikidata.org/wiki/Q21521996	https://www.wikidata.org/wiki/Q21521996
