basisOfRecord	catalogNumber	scientificName	institutionCode	collectionCode	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	identificationRemarks	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	habitat	associatedMedia	CreativeCommonsLicense	ArtObsID	relatedResourceID	coreid	musitModified	itemID	organismID	RelCatNo	RelCleanCatNo	rightsHolder	coremaBasisOfRecord	informationWithheld	preparations	materialSampleType	coremaModified	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	concentration	concentrationUnit	coremaRecordNumber	coremaRecordedBy	coremaEventDate	coremaCountry	coremaProvince	coremaCounty	coremaLocality	coremaElevation	coremaLat	coremaLong	coremaIdentificationRemarks	coremaTypeStatus	coremaIdentifiedBy	coremaDateIdentified	coremaScientificName	coremaGenus	coremaSpecificEpithet
Preserved specimen	76200	Typhula	O	F	Fr.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula			Kåre Homble				L 214/17		Kåre Homble, Siv Moen, Siri Faafeng	2017-10-04		Norway	Viken	Lillestrøm	Skedsmo: Lahaug	10.9646	59.9699	1			På basis av Matteuccia struthiopteris, i gråor-askeskog	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14968884&type=jpeg | https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115944&type=jpeg 	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:76200	urn:uuid:3ac39307-4fa9-45c5-9cde-7ab97b9d8823	2020-01-07	urn:uuid:3ac39307-4fa9-45c5-9cde-7ab97b9d8823	urn:uuid:004202ca-fc20-547d-92f3-c76cfe897619	O-DFL-12373/2-D	12373	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:04:33	Dry	gDNA		CCDB			NOBAS7416-19			L 214/17	Kåre Homble, Siri Faafeng, Siv Moen	2017-10-04	Norway	Akershus	Skedsmo	Lahaug		59.969927	10.964554			Kåre Homble	2017-10-04	Typhula sp.	Typhula	sp.
Preserved specimen	75164	Russula crassipes	O	F	Ruots. & Vauras ined.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Anne-Mieke Verbeken, Jorinde Nuytinck		2018-12-13				Anne Molia	2014-08-19		Norway	Viken	Lunner	Lunner: S. Oppdalen, Mørkomdalen	10.6896	60.2915	83	440-455 m		Southern/middle boreal low herb Picea forest (hogstkl. 3), grazed by cows and sheep	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13215624&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:75164	urn:uuid:0f1a834b-821c-447d-83d6-8d8f171c494f	2021-09-30	urn:uuid:0f1a834b-821c-447d-83d6-8d8f171c494f	urn:uuid:0063fa15-a6cc-5ad0-8a10-6974c4f067fa	O-DFL-604/2-D	604	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:32		gDNA					NOBAS044-14				Anne Molia	2014-08-19	Norway	Oppland	Lunner	Lunner: S. Oppdalen, Mørkomdalen	440					Anne Molia	2014-08-19	Russula queletii Fr.	Russula	queletii
Preserved specimen	75164	Russula crassipes	O	F	Ruots. & Vauras ined.	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula			Anne-Mieke Verbeken, Jorinde Nuytinck		2018-12-13				Anne Molia	2014-08-19		Norway	Viken	Lunner	Lunner: S. Oppdalen, Mørkomdalen	10.6896	60.2915	83	440-455 m		Southern/middle boreal low herb Picea forest (hogstkl. 3), grazed by cows and sheep	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13215624&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:75164	urn:uuid:e0ee3d5f-79b6-4cde-9ff7-b52641b6fcc4	2021-09-30	urn:uuid:e0ee3d5f-79b6-4cde-9ff7-b52641b6fcc4	urn:uuid:0063fa15-a6cc-5ad0-8a10-6974c4f067fa	O-DFL-604/3-D	604	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:32	Dry	gDNA		Canadian Centre for DNA barcod			NOBAS044-14				Anne Molia	2014-08-19	Norway	Oppland	Lunner	Lunner: S. Oppdalen, Mørkomdalen	440					Anne Molia	2014-08-19	Russula queletii Fr.	Russula	queletii
Preserved specimen	256401	Neoboletus praestigiator	O	F	(R. Schulz) Svetash., Gelardi, Simonini & Vizzini	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus			Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev		2019-09-05		NMC2019-106		Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05		Norway	Vestland	Stord	Stord: Stuvasetraåsen	5.4374	59.8067	1000			Picea, Corylus, Betula, rich soil, associated with Bol. edulis, Calob. calopus, Iml. badia, Xer. ferrugineus	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15116085&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:256401	urn:uuid:be674594-21ee-471f-9ead-98906d3f32d9	2020-01-24	urn:uuid:be674594-21ee-471f-9ead-98906d3f32d9	urn:uuid:007ad854-271d-5155-b9c9-9b3fe93d84e9	O-DFL-14644/2-D	14644	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:56	Dry	gDNA		CCDB			NOBAS7674-19			NMC2019-106	Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05	Norway	Hordaland	Stord	Stuvasetraåsen		59.806736	5.437358			Thomas Læssøe, Jens H. Petersen, Preben Graae Sørensen, Dorte Hammelev	2019-09-05	Boletus luridiformis Rostk.	Boletus	luridiformis
Preserved specimen	254040	Hebeloma pseudofragilipes	O	F	Beker, Vesterh. & U. Eberh.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma			Henry J. Beker, Ursula Eberhardt		2021		EB 667/11		Ilkka Kytövuori, Egil Bendiksen	2011-09-06		Norway	Oslo fylke	Oslo	Oslo: Bygdøy: Dronningberget	10.6829	59.9145	1			Calcareous Tilia-Corylus forest (kalklindeskog)	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14324139&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254040	urn:uuid:69638490-7b2d-4dc3-9beb-3ee4f6471705	2021-06-10	urn:uuid:69638490-7b2d-4dc3-9beb-3ee4f6471705	urn:uuid:0092e769-3a67-5ccb-9ab5-a71c497fadcc	O-DFL-7207/2-D	7207	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:50		gDNA		CCDB			NOBAS4695-17			EB 667/11	Ilkka Kytövuori,  Egil Bendiksen	2011-09-06	Norway	Oslo	Oslo	Bygdøy, Dronningberget		59.914452	10.682922	cf.		Egil Bendiksen	2011-09-06	Hebeloma sacchariolens Quél.	Hebeloma	sacchariolens
Preserved specimen	248270	Cortinarius brunneifolius	O	F	Kytöv., Niskanen & Liimat.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Karl-Henrik Larsson, Bálint Dima		2015				Egil Bendiksen	2014-09-30		Norway	Innlandet	Gran	Gran: Marifjell NR	10.9088	60.3352	10			Deserted mossgrown anthill (Hyloc., Pleuroz.,Dicranum) in middle boreal, oligotr. pine forest	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13254816&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:248270	urn:uuid:a94430f8-ac44-437f-a493-b7ba95a3a7d4	2017-03-03	urn:uuid:a94430f8-ac44-437f-a493-b7ba95a3a7d4	urn:uuid:0095ddaa-4a0d-5bd7-973a-a1360cddfc35	O-DFL-1025/2-D	1025	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:21:36		gDNA					NOBAS748-15				Egil Bendiksen	2014-09-30	Norway	Oppland	Gran	Gran: Marifjell NR		60.335199	10.908807			Egil Bendiksen	2014-09-30	Cortinarius badiovinaceus M.M.Moser	Cortinarius	badiovinaceus
Preserved specimen	252870	Imleria badia	O	F	(Fr. : Fr.) Vizzini	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus			Egil Bendiksen				EB 201/09		Egil Bendiksen	2009-09-12		Norway	Trøndelag	Rindal	Rindal: Svorka E/Almbergliene	9.1374	63.0472	71	250-300 m		Picea plantation, cutting class 3, mostly needle bed, with sparse Oxalis etc., southern boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14323045&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:252870	urn:uuid:ea9f5c72-94cc-4301-b726-9b27bbf5ab6f	2016-08-17	urn:uuid:ea9f5c72-94cc-4301-b726-9b27bbf5ab6f	urn:uuid:00c1f5a8-8c19-5e04-be9c-349972baa344	O-DFL-4806/2-D	4806	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2021-09-09T20:22:03		gDNA		CCDB						EB 201/09	Egil Bendiksen	2009-09-12	Norway	Møre og Romsdal	Rindal	Svorka E/Almbergliene	250	63.046702	9.13644			Egil Bendiksen	2009-09-12	Xerocomus badius (Fr.: Fr.) E.-J.Gilbert	Xerocomus	badius
Preserved specimen	254529	Hebeloma	O	F	(Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma							EB 431/17		Egil Bendiksen	2017-09-27		Norway	Innlandet	Sel	Sel, Heidal, Rustmoen, sandy terrace by River Sjoa	9.1768	61.7043	5			Oligotrophic sandy pine forest, middle boreal zone	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115340&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254529	urn:uuid:b4ac0c43-ecb8-4691-8c91-065fb0f33946	2018-03-09	urn:uuid:b4ac0c43-ecb8-4691-8c91-065fb0f33946	urn:uuid:00cd70d5-bddc-564e-a6fa-d8ef3c792a03	O-DFL-9511/2-D	9511	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:54	Dry	gDNA		CCDB			NOBAS5869-18			EB 431/17	Egil Bendiksen	2017-09-27	Norway	Oppland	Sel	Heidal, Rustmoen, sandy terrace by River Sjoa		61.704297	9.176801			Egil Bendiksen	2017-09-27	Hebeloma sp.	Hebeloma	sp.
Preserved specimen	248998	Conocybe sulcatipes	O	F	(Peck) Kühner	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Pholiotina			Karl-Henrik Larsson		2015-05-12		TEB 28-13		Tor Erik Brandrud	2013-06-27		Norway	Viken	Jevnaker	Jevnaker: Mosmoen-Randselva ved Bergerfoss	10.378	60.2259	7			rik sandfuru(-gran)skog (lågurtskog); grov furu, i gammelt veispor langs jernbanen	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13255903&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:248998	urn:uuid:b580b3db-2432-45e3-8a7c-804da52f444c	2017-01-19	urn:uuid:b580b3db-2432-45e3-8a7c-804da52f444c	urn:uuid:00e4a0b5-aa33-53de-ae7c-8edc110e30f7	O-DFL-2083/2-D	2083	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:39		gDNA					NOBAS1357-15			TEB 28-13	Tor Erik Brandrud TEB 28-13	2013-06-27	Norway	Oppland	Jevnaker	Mosmoen-Randselva ved Bergerfoss		60.225843	10.377938			Tor Erik Brandrud	2013-06-27	Pholiotina filipes (G.F.Atk.) Singer	Pholiotina	filipes
Preserved specimen	254390	Entoloma	O	F	(Fr. : Fr.) P. Kumm.	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma							Jor 93-279		John Bjarne Jordal	1993-10-04		Norway	Møre og Romsdal	Ålesund	Haram: Haramsøya, Ulla fyr	6.1681	62.6857	100	5 m		Strandberg, litt naturbeitemark og hei, sauebeite; på marka	https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=15115178&type=jpeg	https://creativecommons.org/licenses/by-sa/4.0/		urn:catalog:O:F:254390	urn:uuid:017389a0-a051-4496-8e03-0e0034bfa0a7	2018-12-04	urn:uuid:017389a0-a051-4496-8e03-0e0034bfa0a7	urn:uuid:00f1c015-3576-559f-a1f4-6eab836153be	O-DFL-9337/2-D	9337	Natural History Museum (Botanical Museum), University of Oslo, Norway	MaterialSample		gDNA	DNA	2022-01-07T16:03:53	Dry	gDNA		CCDB			NOBAS5695-18			Jor 93-279	John Bjarne Jordal	1993-10-04	Norway	Møre og Romsdal	Haram	Haramsøya, Ulla fyr	5	62.685652	6.168081			John Bjarne Jordal	1993-10-04	Entoloma sp.	Entoloma	sp.
